R
Px,I,D,Py,I,D,Pz,I,D,FFrx,y,FFdrx,y,satI,satPID,DTermC
145,25,1500,170,25,1800,400,100,0,0,0,0,7,75,10
sysTime,GRawX,GRawY,GRawZ,GPT1Y,GPT1X,GPT2X,GPT2Y,ARawX,ARawY,ARawZ,APT1Y,APT1Z,APT1X,APT2X,APT2Y,APT2Z
257.975,-0.159,-4.857,-0.073,0.845,-0.287,0.652,-0.012,-0.136,-0.617,9.872,-0.141,-0.600,9.850,-0.141,-0.592,9.850
257.985,-2.601,3.688,-4.468,-0.079,-0.083,0.555,-0.111,-0.158,-0.596,9.879,-0.138,-0.596,9.853,-0.141,-0.593,9.850
257.996,-5.042,1.002,-10.938,-0.611,1.073,0.234,0.133,-0.179,-0.538,9.843,-0.152,-0.594,9.848,-0.142,-0.594,9.850
258.008,-3.211,0.636,-1.050,-2.061,0.428,-0.399,0.276,-0.201,-0.603,9.821,-0.157,-0.587,9.845,-0.145,-0.592,9.850
258.020,-1.746,-3.758,-2.759,-1.397,-1.125,-0.840,-0.008,-0.122,-0.574,9.829,-0.149,-0.595,9.850,-0.147,-0.593,9.850
258.030,4.113,-2.903,4.931,-0.417,-1.252,-0.839,-0.346,-0.143,-0.596,9.814,-0.148,-0.590,9.848,-0.147,-0.593,9.850
258.041,-4.065,-8.519,-1.050,-1.376,-1.878,-0.890,-0.711,-0.158,-0.567,9.850,-0.152,-0.593,9.850,-0.148,-0.593,9.850
258.053,-0.647,1.857,-0.805,-0.632,-1.105,-0.837,-0.937,-0.150,-0.560,9.857,-0.151,-0.584,9.847,-0.149,-0.591,9.850
258.064,1.061,1.002,-3.979,0.533,0.041,-0.589,-0.684,-0.150,-0.510,9.857,-0.148,-0.572,9.845,-0.149,-0.588,9.848
258.075,0.939,-4.490,-0.195,0.015,-0.981,-0.401,-0.670,-0.114,-0.617,9.893,-0.139,-0.579,9.843,-0.148,-0.585,9.847
258.085,1.427,-1.194,3.100,-0.293,-1.444,-0.407,-0.855,-0.172,-0.581,9.814,-0.144,-0.579,9.847,-0.146,-0.584,9.847
258.095,2.648,-3.636,-9.961,-0.639,-1.537,-0.493,-1.035,-0.136,-0.596,9.829,-0.144,-0.589,9.843,-0.146,-0.584,9.847
258.105,-1.258,-3.514,6.640,-0.494,-1.854,-0.508,-1.216,-0.136,-0.538,9.843,-0.139,-0.581,9.844,-0.145,-0.585,9.846
258.115,-2.112,4.664,-2.148,-0.302,-0.536,-0.432,-1.169,-0.136,-0.589,9.829,-0.137,-0.580,9.844,-0.143,-0.584,9.846
258.125,-6.385,-4.857,5.297,-1.422,-0.602,-0.618,-0.957,-0.136,-0.546,9.872,-0.136,-0.577,9.851,-0.142,-0.583,9.846
258.135,2.159,-1.316,3.344,-0.629,-0.419,-0.707,-0.788,-0.143,-0.574,9.850,-0.138,-0.581,9.847,-0.141,-0.582,9.847
258.145,-1.990,-2.903,2.978,-0.783,-0.294,-0.677,-0.616,-0.150,-0.610,9.865,-0.135,-0.584,9.853,-0.139,-0.582,9.847
258.155,-0.647,2.223,8.471,-0.687,-0.311,-0.720,-0.527,-0.194,-0.567,9.843,-0.139,-0.587,9.852,-0.138,-0.583,9.848
258.165,0.206,1.002,1.757,-0.163,-0.556,-0.655,-0.563,-0.158,-0.589,9.850,-0.136,-0.589,9.850,-0.138,-0.584,9.849
258.175,3.868,-0.950,-7.642,0.704,-0.002,-0.343,-0.430,-0.122,-0.617,9.836,-0.133,-0.588,9.848,-0.137,-0.585,9.849
258.185,2.037,-0.462,-1.416,0.614,-0.743,-0.119,-0.504,-0.136,-0.574,9.843,-0.134,-0.591,9.837,-0.136,-0.586,9.847
258.195,-1.746,4.908,1.147,-0.560,0.032,-0.195,-0.470,-0.136,-0.553,9.807,-0.137,-0.588,9.835,-0.136,-0.587,9.845
258.205,-1.014,1.246,-0.073,-0.851,-0.466,-0.434,-0.418,-0.165,-0.596,9.850,-0.135,-0.596,9.839,-0.136,-0.589,9.843
258.215,-3.577,-2.659,-4.101,-0.909,-0.189,-0.525,-0.365,-0.143,-0.574,9.865,-0.135,-0.597,9.836,-0.136,-0.590,9.842
258.225,2.037,-3.514,2.612,0.102,-0.022,-0.410,-0.229,-0.150,-0.581,9.922,-0.136,-0.589,9.844,-0.136,-0.590,9.841
258.235,-3.333,-1.805,2.001,0.045,0.368,-0.176,-0.037,-0.158,-0.553,9.814,-0.137,-0.583,9.835,-0.136,-0.589,9.840
258.245,-1.014,1.368,-7.764,-0.690,1.050,-0.280,0.268,-0.129,-0.574,9.814,-0.136,-0.585,9.835,-0.136,-0.588,9.839
258.256,2.037,-1.194,1.879,-0.200,1.267,-0.289,0.629,-0.150,-0.574,9.857,-0.142,-0.583,9.840,-0.137,-0.587,9.839
258.266,-0.159,-3.392,-0.928,0.304,0.523,-0.122,0.683,-0.165,-0.589,9.829,-0.146,-0.583,9.839,-0.138,-0.586,9.839
258.276,0.939,3.443,4.931,0.840,1.112,0.117,0.704,-0.122,-0.596,9.843,-0.143,-0.585,9.839,-0.140,-0.586,9.839
258.286,0.084,-1.316,3.344,1.001,0.972,0.396,0.876,-0.129,-0.574,9.786,-0.138,-0.587,9.835,-0.140,-0.586,9.839
258.296,3.258,5.397,-10.083,1.420,1.559,0.691,0.980,-0.143,-0.581,9.843,-0.138,-0.588,9.835,-0.139,-0.587,9.838
258.306,1.915,-0.584,3.710,0.157,1.323,0.624,1.167,-0.114,-0.596,9.865,-0.132,-0.585,9.837,-0.138,-0.586,9.838
258.316,6.920,4.176,7.495,1.431,1.584,0.766,1.222,-0.158,-0.574,9.807,-0.137,-0.589,9.838,-0.137,-0.587,9.838
258.326,-1.624,3.199,1.147,0.132,2.181,0.676,1.487,-0.165,-0.603,9.814,-0.143,-0.594,9.837,-0.138,-0.588,9.838
258.336,-6.873,0.270,3.588,-0.858,1.870,0.362,1.673,-0.122,-0.589,9.821,-0.146,-0.594,9.837,-0.140,-0.590,9.838
258.346,-1.990,1.734,-10.327,-0.878,1.539,-0.036,1.599,-0.136,-0.538,9.829,-0.147,-0.591,9.835,-0.142,-0.590,9.838
258.356,-11.390,0.514,-0.439,-0.958,1.334,-0.064,1.488,-0.194,-0.567,9.865,-0.152,-0.587,9.836,-0.143,-0.590,9.837
258.367,1.549,-2.781,-0.317,-0.488,0.051,-0.252,1.247,-0.158,-0.581,9.800,-0.149,-0.587,9.837,-0.145,-0.590,9.837
258.377,4.845,0.270,-1.172,0.584,0.456,-0.117,0.942,-0.150,-0.567,9.829,-0.147,-0.584,9.836,-0.145,-0.589,9.837
258.387,-1.868,-1.561,-4.101,0.443,0.005,0.077,0.688,-0.129,-0.632,9.893,-0.144,-0.589,9.840,-0.145,-0.588,9.837
258.397,-2.234,7.716,6.152,0.800,1.367,0.330,0.761,-0.136,-0.596,9.807,-0.141,-0.590,9.836,-0.144,-0.588,9.837
258.407,0.084,-3.148,-2.270,0.873,0.861,0.419,0.843,-0.150,-0.560,9.807,-0.143,-0.581,9.837,-0.144,-0.587,9.838
258.417,-3.699,-1.927,-7.397,1.086,0.352,0.609,0.752,-0.129,-0.625,9.821,-0.140,-0.588,9.836,-0.143,-0.587,9.838
258.427,2.892,-6.321,-5.078,1.868,-0.013,0.907,0.616,-0.150,-0.653,9.843,-0.145,-0.593,9.840,-0.143,-0.587,9.838
258.437,1.915,-0.218,13.842,1.601,-0.160,1.109,0.370,-0.129,-0.581,9.843,-0.139,-0.593,9.842,-0.143,-0.589,9.839
258.447,-4.920,-6.199,-11.548,0.847,-0.368,1.171,0.273,-0.143,-0.567,9.879,-0.140,-0.592,9.847,-0.142,-0.590,9.840
258.457,5.577,6.251,4.443,0.480,-0.268,0.962,0.037,-0.165,-0.625,9.857,-0.142,-0.590,9.846,-0.142,-0.590,9.841
258.467,7.286,5.519,3.100,0.926,0.296,0.865,-0.010,-0.158,-0.553,9.814,-0.141,-0.588,9.838,-0.141,-0.590,9.841
258.477,-8.460,-4.612,-5.200,-0.299,0.625,0.697,0.235,-0.158,-0.625,9.879,-0.140,-0.590,9.839,-0.141,-0.590,9.840
258.487,-2.112,-1.805,2.368,0.369,0.455,0.646,0.393,-0.114,-0.581,9.850,-0.142,-0.591,9.839,-0.141,-0.590,9.840
258.497,-0.159,-5.101,-7.153,-0.288,-0.100,0.430,0.343,-0.136,-0.567,9.836,-0.144,-0.585,9.834,-0.142,-0.589,9.839
258.508,1.427,-1.439,0.658,0.441,-0.388,0.324,0.131,-0.165,-0.596,9.865,-0.148,-0.593,9.838,-0.143,-0.590,9.838
258.518,0.939,-1.316,-1.172,0.694,0.230,0.393,0.109,-0.129,-0.625,9.843,-0.143,-0.599,9.841,-0.143,-0.591,9.839
258.528,-0.281,-0.950,2.734,0.923,0.345,0.543,0.231,-0.158,-0.610,9.857,-0.149,-0.602,9.843,-0.144,-0.593,9.839
258.538,4.479,4.786,-8.740,0.876,0.869,0.627,0.309,-0.100,-0.596,9.821,-0.142,-0.600,9.843,-0.144,-0.595,9.841
258.548,-3.577,-2.415,0.048,0.726,1.178,0.648,0.581,-0.179,-0.560,9.865,-0.146,-0.588,9.846,-0.144,-0.594,9.841
258.558,0.939,-2.171,0.658,0.592,1.156,0.657,0.826,-0.186,-0.603,9.850,-0.156,-0.588,9.846,-0.146,-0.593,9.842
258.568,5.089,-3.270,1.147,1.116,0.302,0.678,0.794,-0.129,-0.567,9.886,-0.154,-0.587,9.849,-0.148,-0.592,9.843
258.578,-0.403,0.758,-0.073,-0.597,-0.087,0.401,0.517,-0.122,-0.574,9.857,-0.151,-0.585,9.847,-0.149,-0.591,9.844
258.588,0.328,4.176,-0.805,0.572,0.671,0.440,0.480,-0.158,-0.625,9.829,-0.152,-0.591,9.843,-0.150,-0.590,9.845
258.598,4.845,4.176,3.710,0.487,0.977,0.449,0.579,-0.114,-0.574,9.814,-0.146,-0.584,9.837,-0.149,-0.589,9.844
258.608,1.915,4.054,-2.881,-0.075,2.222,0.233,0.951,-0.143,-0.531,9.821,-0.150,-0.578,9.832,-0.149,-0.588,9.841
258.619,2.159,-2.659,2.856,1.183,1.543,0.400,1.228,-0.158,-0.567,9.908,-0.154,-0.582,9.837,-0.150,-0.586,9.840
258.631,-8.216,1.124,0.292,-0.103,1.032,0.490,1.198,-0.158,-0.581,9.821,-0.153,-0.579,9.839,-0.151,-0.585,9.840
258.643,2.526,-0.828,-6.543,-0.088,1.074,0.213,1.215,-0.129,-0.596,9.865,-0.149,-0.584,9.841,-0.151,-0.584,9.839
258.655,-5.897,2.955,0.292,-0.516,1.193,0.080,1.127,-0.143,-0.581,9.879,-0.147,-0.583,9.845,-0.150,-0.584,9.840
258.667,3.624,4.420,6.030,-0.050,1.863,-0.068,1.269,-0.129,-0.553,9.915,-0.144,-0.581,9.844,-0.149,-0.584,9.840
258.679,-5.042,2.223,-5.933,-0.985,2.743,-0.244,1.711,-0.172,-0.603,9.829,-0.144,-0.581,9.849,-0.148,-0.583,9.842
258.690,0.206,1.368,-0.439,-0.766,1.359,-0.394,1.708,-0.143,-0.596,9.843,-0.144,-0.579,9.848,-0.147,-0.582,9.843
258.702,-4.188,-0.218,-1.904,-1.628,0.151,-0.628,1.255,-0.143,-0.596,9.836,-0.140,-0.581,9.847,-0.146,-0.582,9.844
258.714,-1.990,-2.781,-2.514,-0.795,-0.301,-0.709,0.840,-0.179,-0.596,9.836,-0.149,-0.582,9.845,-0.146,-0.582,9.845
258.726,-3.821,3.932,1.757,-0.545,-0.377,-0.616,0.382,-0.100,-0.581,9.843,-0.149,-0.585,9.847,-0.147,-0.583,9.845
258.738,-2.967,-3.148,-4.590,-1.046,-0.071,-0.672,0.278,-0.136,-0.581,9.807,-0.142,-0.586,9.846,-0.146,-0.583,9.846
258.750,-5.774,-5.711,-6.787,-1.438,-0.988,-0.885,-0.011,-0.165,-0.553,9.742,-0.130,-0.592,9.841,-0.144,-0.585,9.846
258.761,-3.577,0.392,-9.717,-1.966,-0.877,-1.160,-0.343,0.014,-0.718,9.879,-0.146,-0.594,9.845,-0.144,-0.586,9.844
258.773,1.671,-1.561,2.612,-0.528,-0.898,-1.074,-0.467,-0.280,-0.495,9.498,-0.144,-0.568,9.783,-0.144,-0.584,9.838
258.785,-1.136,0.147,14.575,-1.180,-0.302,-1.057,-0.530,0.366,-0.704,10.518,-0.103,-0.633,9.868,-0.139,-0.591,9.835
258.797,-1.502,-1.683,5.175,-1.439,-0.224,-1.186,-0.423,-0.028,-0.819,9.757,-0.097,-0.650,9.862,-0.130,-0.602,9.844
258.809,-5.286,1.734,-7.275,-0.005,-0.067,-0.826,-0.374,-0.431,-0.574,9.922,-0.134,-0.633,9.886,-0.129,-0.610,9.852
258.820,-3.577,-6.077,16.894,0.058,-0.337,-0.483,-0.310,-0.308,-0.783,9.642,-0.130,-0.660,9.835,-0.129,-0.619,9.852
258.832,-1.014,1.002,4.687,0.408,0.305,-0.201,-0.210,0.158,-0.617,9.944,-0.137,-0.623,9.863,-0.133,-0.620,9.854
258.844,7.286,1.734,-4.590,1.172,-0.130,0.075,-0.224,-0.905,-0.495,10.432,-0.147,-0.655,9.893,-0.132,-0.628,9.858
258.856,-1.746,-1.927,1.513,1.049,-0.033,0.409,-0.099,-0.804,-0.344,9.577,-0.164,-0.621,9.890,-0.136,-0.631,9.869
258.868,-1.990,0.880,3.588,-0.070,-0.471,0.398,-0.210,-1.882,0.510,10.209,-0.238,-0.590,9.844,-0.146,-0.629,9.865
258.879,-0.525,10.035,-10.205,-0.214,-0.138,0.262,-0.361,1.659,-0.546,10.590,-0.180,-0.645,9.911,-0.160,-0.631,9.866
258.891,-5.897,3.810,5.908,-1.147,-1.023,-0.000,-0.570,-1.214,-0.898,10.554,-0.217,-0.661,9.982,-0.167,-0.636,9.894
258.903,1.915,0.147,7.495,0.157,-0.653,-0.138,-0.623,-0.840,-0.596,10.353,-0.251,-0.739,9.999,-0.172,-0.653,9.908
258.915,-1.014,-4.490,-1.538,-0.620,-0.991,-0.197,-0.693,0.409,-0.459,10.231,-0.329,-0.699,9.963,-0.203,-0.665,9.923
258.927,-3.943,-3.758,-4.346,-0.882,-0.800,-0.408,-0.720,0.229,2.335,9.994,-0.246,-0.610,10.030,-0.223,-0.669,9.940
258.938,-4.188,-5.101,-1.050,-1.718,-0.847,-0.721,-0.734,-0.344,-1.817,7.479,-0.229,-0.612,9.862,-0.224,-0.647,9.946
258.950,-2.112,0.392,1.391,-1.545,0.031,-0.997,-0.596,-1.401,-1.393,10.454,-0.307,-0.652,9.950,-0.231,-0.642,9.932
258.962,-2.112,0.147,-6.787,-0.669,-0.094,-0.909,-0.367,1.077,-0.165,9.893,-0.164,-0.632,9.920,-0.229,-0.646,9.941
258.974,3.502,-4.490,-3.491,-0.523,0.449,-0.943,-0.080,-0.646,0.718,10.109,-0.158,-0.568,9.920,-0.212,-0.630,9.934
258.986,15.221,-1.316,4.077,0.866,0.008,-0.668,-0.009,-2.313,0.114,12.832,-0.245,-0.509,10.039,-0.205,-0.614,9.932
258.998,8.996,-4.002,-6.665,0.864,-0.348,-0.334,0.028,0.229,-1.350,9.117,-0.286,-0.495,10.026,-0.226,-0.584,9.967
259.009,10.582,0.880,0.292,1.653,-0.380,0.058,-0.107,-0.567,0.050,11.000,-0.248,-0.476,10.036,-0.238,-0.560,9.972
259.021,-1.624,-4.979,8.837,0.329,-1.742,0.281,-0.523,-1.357,0.071,10.569,-0.309,-0.509,10.073,-0.241,-0.551,9.989
259.032,4.601,0.636,-0.683,-0.100,-1.457,0.157,-0.856,0.064,-0.689,11.223,-0.286,-0.441,10.080,-0.256,-0.530,10.005
259.043,-2.723,-4.490,-0.928,-1.419,-1.656,-0.206,-1.028,-0.603,-1.049,9.168,-0.383,-0.535,10.037,-0.282,-0.520,10.020
259.055,5.577,-1.439,3.710,-1.093,-0.333,-0.636,-0.935,-1.408,-0.071,10.418,-0.408,-0.434,10.049,-0.296,-0.509,10.020
259.066,1.061,-3.880,-1.050,-0.719,-1.126,-0.682,-0.958,-0.021,-0.445,9.778,-0.365,-0.482,10.071,-0.327,-0.498,10.033
259.077,-2.112,-6.566,3.588,0.073,-0.256,-0.427,-0.630,-2.313,-0.625,10.159,-0.456,-0.552,10.022,-0.342,-0.509,10.044
259.089,-1.502,-6.077,-7.031,-0.519,-1.599,-0.410,-0.722,1.415,-0.136,9.541,-0.239,-0.490,9.935,-0.338,-0.516,10.024
259.100,1.671,-6.199,2.368,-0.591,-0.807,-0.486,-0.788,0.581,-1.192,8.377,-0.367,-0.694,9.851,-0.353,-0.536,10.003
259.112,-4.065,0.147,1.635,-0.473,-0.369,-0.489,-0.734,0.294,-2.098,8.492,-0.099,-0.714,9.734,-0.317,-0.561,9.952
259.123,4.113,10.402,0.292,-0.990,0.880,-0.693,-0.384,-0.136,-0.704,10.547,-0.203,-0.572,9.689,-0.290,-0.579,9.891
259.134,-6.995,-6.444,-5.566,-0.501,-0.113,-0.445,-0.134,-2.478,-0.775,10.353,-0.395,-0.778,9.821,-0.282,-0.612,9.871
259.146,2.526,-5.711,-7.397,0.543,-0.052,-0.330,-0.148,-1.092,-1.530,7.400,-0.358,-0.804,9.795,-0.287,-0.642,9.869
259.157,1.793,-2.293,1.879,0.462,0.117,-0.095,-0.064,-0.941,-3.068,9.635,-0.222,-0.796,9.777,-0.274,-0.651,9.852
259.168,0.328,-6.321,3.100,-0.026,-0.935,-0.131,-0.146,-1.278,-0.855,11.618,-0.050,-0.808,9.875,-0.228,-0.675,9.840
259.180,4.479,-8.519,4.809,1.414,-1.393,0.165,-0.452,-4.253,2.399,12.293,-0.157,-0.804,10.032,-0.173,-0.721,9.856
259.192,-7.606,-8.885,-3.125,1.974,-1.760,0.805,-0.658,-1.702,3.606,8.090,-0.523,-0.478,10.147,-0.190,-0.744,9.916
259.203,-1.746,-3.148,-8.374,2.930,-1.578,1.575,-0.933,8.478,-7.084,9.045,-0.510,-0.312,10.010,-0.321,-0.633,9.981
259.215,15.221,6.129,-14.234,1.167,-2.131,1.283,-1.430,5.834,-6.330,15.045,-0.343,-0.320,9.969,-0.420,-0.488,9.921
259.226,9.484,25.295,12.622,2.484,-0.109,1.419,-1.647,3.477,-1.681,6.559,0.465,-0.911,10.146,-0.333,-0.517,9.996
259.237,-10.291,-21.092,-8.374,1.982,-1.238,1.718,-1.230,-15.986,10.784,9.764,0.147,-0.734,10.092,-0.072,-0.670,10.027
259.249,-30.555,10.890,-15.576,0.851,-0.434,2.233,-1.076,10.116,-5.331,15.009,0.365,-0.566,10.107,-0.039,-0.671,10.062
259.260,47.083,-6.321,2.490,0.542,-2.877,0.637,-1.555,-12.537,-11.589,15.972,-0.093,-0.891,10.672,0.085,-0.549,10.023
259.272,-6.019,7.594,-12.036,1.068,-3.161,1.098,-2.232,9.972,12.336,16.705,-0.114,-0.740,10.950,-0.102,-0.750,10.291
259.284,-3.943,1.246,2.734,0.275,-5.489,0.878,-3.107,3.700,-2.256,11.812,0.146,-0.512,10.964,-0.053,-0.672,10.354
259.296,-19.569,-32.201,-11.548,-1.522,-8.251,0.290,-4.188,2.658,-9.807,-1.710,0.306,-0.707,10.669,0.026,-0.598,10.560
259.308,25.231,-10.106,3.100,0.790,-9.598,-0.073,-5.872,-16.762,9.850,22.826,-0.692,-0.402,11.674,0.055,-0.688,10.533
259.320,19.982,-9.373,1.879,3.419,-10.536,1.135,-7.289,-6.179,-10.993,28.237,-1.209,-0.383,12.187,-0.325,-0.548,10.937
259.332,-38.002,-30.736,-19.239,-1.044,-16.764,1.291,-9.724,10.813,11.625,8.823,-0.193,0.088,11.988,-0.336,-0.554,11.134
259.344,8.873,-5.223,-7.642,0.318,-14.849,0.561,-11.792,-12.293,11.036,22.647,-0.358,0.207,12.221,-0.293,-0.342,11.365
259.354,-28.846,-9.129,-10.938,1.777,-14.553,1.051,-12.583,13.349,13.694,3.786,-0.449,0.330,12.081,-0.354,-0.341,11.507
259.366,30.114,-11.204,7.739,4.614,-15.030,1.150,-13.391,-8.083,0.021,5.913,-0.831,-0.091,12.473,-0.378,-0.147,11.661
259.378,65.760,10.890,22.266,12.153,-15.302,3.796,-13.890,-5.252,-4.188,46.214,-0.805,-0.072,13.068,-0.480,-0.116,11.767
259.389,-48.256,-20.970,-15.698,12.210,-19.322,7.353,-15.221,22.489,-6.660,-18.882,0.158,-0.405,12.679,-0.524,-0.133,12.339
259.401,-12.000,-0.218,-28.760,13.806,-20.002,8.516,-16.781,27.339,4.382,-13.213,1.468,-0.295,11.620,-0.133,-0.202,12.131
259.413,79.310,-34.276,6.030,21.049,-25.074,11.422,-18.716,-7.752,13.450,43.498,1.003,0.551,13.608,0.251,-0.110,12.177
259.425,37.317,-76.392,-10.938,25.205,-32.000,15.364,-22.204,-19.823,5.000,21.001,0.025,0.273,14.077,0.304,0.033,12.623
259.437,94.081,-72.974,6.274,33.844,-38.827,19.976,-26.819,-23.480,-14.858,24.177,-1.640,-0.682,14.995,0.013,0.054,13.043
259.447,21.813,-77.246,3.100,39.652,-41.121,25.018,-29.843,11.201,-0.265,2.241,-1.537,-0.548,14.588,-0.334,-0.099,13.415
259.459,-6.141,-56.250,12.500,38.403,-43.938,29.441,-34.246,12.250,-9.125,-8.780,-0.699,-1.128,14.060,-0.478,-0.303,13.641
259.471,16.808,-15.233,-26.075,43.966,-41.407,33.236,-37.016,13.572,-6.085,-3.628,-0.080,-1.195,13.843,-0.456,-0.489,13.693
259.483,47.693,-8.763,-4.468,45.915,-36.199,36.709,-37.580,13.256,-15.555,4.993,0.614,-1.846,13.484,-0.275,-0.756,13.638
259.493,88.832,-36.596,13.232,51.594,-35.280,39.822,-37.077,-12.228,21.547,23.380,0.132,-0.967,14.015,-0.099,-0.931,13.631
259.505,101.161,-40.502,33.985,59.375,-31.767,45.239,-35.932,-19.435,12.063,23.969,-0.464,-0.175,14.653,-0.090,-0.794,13.795
259.517,95.424,8.815,29.102,63.426,-23.810,50.308,-33.168,-19.169,12.911,21.670,-1.542,-0.064,15.379,-0.298,-0.648,14.070
259.529,122.158,-9.495,21.167,65.839,-15.467,54.468,-28.663,-23.875,-3.865,21.806,-2.183,0.009,15.395,-0.641,-0.446,14.309
259.541,116.421,48.489,39.234,67.967,-1.051,58.567,-21.764,-17.646,0.251,35.961,-2.488,-0.379,16.274,-1.025,-0.424,14.617
259.551,9.362,48.611,36.548,63.267,8.117,60.622,-14.931,10.633,4.160,14.003,-2.216,0.013,16.407,-1.316,-0.360,14.966
259.563,-50.087,25.417,8.715,46.855,17.321,58.341,-5.315,14.801,0.502,-5.130,-0.492,0.240,14.579,-1.286,-0.231,15.091
259.575,0.939,57.522,14.453,38.574,25.300,52.636,3.141,14.312,-7.278,-4.483,0.330,-0.277,13.469,-1.013,-0.183,14.821
259.587,-25.673,93.534,3.588,29.371,38.409,46.169,12.778,18.623,4.749,-5.015,1.664,0.265,12.404,-0.546,-0.130,14.387
259.597,18.273,51.174,28.125,22.454,41.507,40.585,19.721,-9.247,3.499,30.946,1.286,0.263,12.990,-0.153,-0.074,14.039
259.609,28.283,51.663,55.836,16.832,47.016,33.922,27.792,-10.590,-4.210,35.070,0.632,0.039,14.037,0.054,-0.029,13.976
259.620,-26.649,106.962,36.670,7.438,57.492,27.002,35.752,4.131,0.625,19.478,0.696,0.033,14.410,0.133,0.001,14.118
259.632,-49.233,77.420,14.453,-6.482,64.273,17.691,43.923,13.780,-8.076,-4.454,1.430,-0.365,13.140,0.323,-0.031,14.065
259.642,16.930,82.792,26.538,-12.524,70.372,9.942,50.037,-6.639,-3.441,20.973,1.336,-0.463,13.130,0.563,-0.091,13.827
259.654,-39.833,95.121,39.844,-21.334,72.880,1.517,57.153,-7.091,3.542,39.014,0.575,-0.468,15.019,0.608,-0.175,13.925
259.666,-59.609,82.059,25.562,-30.954,78.486,-7.219,63.664,7.307,-2.241,13.730,1.196,-0.234,14.507,0.630,-0.196,14.178
259.678,-92.325,79.007,4.809,-43.270,75.658,-17.267,67.384,9.987,-0.359,-1.135,1.380,-0.405,13.362,0.728,-0.266,14.182
259.690,-106.119,51.907,-26.197,-52.103,73.933,-27.693,69.786,6.603,5.841,-7.688,1.097,-0.003,12.639,0.865,-0.252,13.899
259.700,-32.631,35.061,-9.229,-53.305,67.273,-33.945,69.734,-8.837,-16.159,36.758,1.219,-0.460,12.485,0.944,-0.208,13.568
259.712,-87.442,18.459,5.297,-55.155,58.961,-39.637,67.436,16.726,-5.791,2.521,1.844,-0.675,11.755,1.011,-0.325,13.375
259.724,-103.678,42.507,-24.122,-55.706,51.811,-44.935,63.163,13.867,18.077,-20.642,2.261,0.026,11.068,1.308,-0.322,12.978
259.736,38.660,0.514,-27.906,-48.129,37.410,-48.165,56.257,-18.400,-8.758,23.200,0.821,-0.145,12.222,1.406,-0.191,12.567
259.748,25.109,60.086,20.068,-40.797,30.533,-46.392,48.507,-7.824,-6.365,45.445,0.304,-0.268,13.296,1.157,-0.206,12.592
