R
Px,I,D,Py,I,D,Pz,I,D,FFrx,y,FFdrx,y,satI,satPID,DTermC
155,25,1500,180,25,1800,400,100,0,0,0,0,7,75,10
sysTime,GRawX,GRawY,GRawZ,GPT1X,GPT1Y,GPT2X,GPT2Y,ARawX,ARawY,ARawZ,APT1X,APT1Y,APT1Z,APT2X,APT2Y,APT2Z
142.778,1.549,7.838,7.495,0.557,1.405,-0.078,0.455,-0.998,0.811,9.800,-0.975,0.783,9.763,-0.975,0.784,9.759
142.789,6.310,2.467,-3.979,0.150,0.025,-0.097,0.361,-0.991,0.804,9.721,-0.981,0.787,9.754,-0.976,0.784,9.759
142.799,-2.112,4.176,0.781,-0.124,1.226,-0.083,0.548,-0.955,0.790,9.735,-0.978,0.787,9.752,-0.977,0.785,9.758
142.811,2.037,4.908,-8.252,0.518,1.464,0.021,0.728,-1.034,0.790,9.757,-0.983,0.790,9.748,-0.978,0.786,9.755
142.822,-1.868,-6.566,-6.299,-0.011,1.241,0.110,1.030,-0.991,0.797,9.778,-0.980,0.789,9.756,-0.978,0.787,9.755
142.834,-0.525,5.763,12.622,-0.207,0.968,0.138,0.940,-0.998,0.775,9.757,-0.980,0.794,9.761,-0.979,0.788,9.756
142.844,4.845,-2.537,7.739,-0.362,0.124,-0.112,0.763,-1.005,0.797,9.757,-0.982,0.798,9.762,-0.979,0.790,9.758
142.856,2.770,-4.612,-0.195,0.231,-0.852,-0.031,0.373,-1.027,0.819,9.742,-0.979,0.794,9.756,-0.979,0.791,9.758
142.867,-0.403,-4.002,-1.416,-1.350,-1.169,-0.437,-0.179,-1.005,0.783,9.786,-0.983,0.792,9.757,-0.979,0.792,9.757
142.879,1.183,1.979,-3.979,-0.535,-0.603,-0.509,-0.399,-1.027,0.775,9.757,-0.990,0.787,9.756,-0.981,0.791,9.757
142.890,-2.112,-4.002,1.147,-0.989,-0.395,-0.655,-0.372,-1.020,0.768,9.778,-0.985,0.791,9.760,-0.982,0.791,9.757
142.900,1.671,-0.706,-4.956,-0.144,-0.102,-0.631,-0.266,-1.013,0.783,9.771,-0.988,0.791,9.759,-0.983,0.791,9.757
142.912,3.502,3.810,-0.805,-0.611,0.019,-0.558,-0.320,-0.984,0.775,9.728,-0.985,0.790,9.759,-0.984,0.791,9.758
142.923,-1.746,-0.462,-4.956,0.134,0.427,-0.374,-0.124,-0.948,0.790,9.771,-0.980,0.789,9.763,-0.984,0.790,9.759
142.935,-3.211,-1.683,2.978,-0.955,-0.173,-0.403,-0.071,-0.955,0.775,9.764,-0.979,0.789,9.766,-0.983,0.790,9.761
142.945,-3.577,-0.950,2.612,-1.605,-0.686,-0.733,-0.254,-0.941,0.783,9.771,-0.977,0.788,9.765,-0.982,0.790,9.761
142.955,2.770,3.810,-0.195,-0.933,-0.974,-0.955,-0.582,-0.955,0.804,9.807,-0.973,0.788,9.766,-0.980,0.789,9.762
142.967,-2.723,-6.810,-6.177,0.675,-0.729,-0.497,-0.593,-0.991,0.790,9.750,-0.973,0.789,9.764,-0.978,0.789,9.763
142.977,-3.089,1.002,1.391,-0.186,-1.158,-0.252,-0.750,-0.969,0.790,9.757,-0.978,0.789,9.761,-0.978,0.789,9.763
142.987,1.061,3.077,7.983,0.641,-0.647,0.005,-0.791,-0.969,0.775,9.735,-0.979,0.786,9.756,-0.979,0.788,9.762
142.997,-3.333,0.025,-3.125,-1.545,-1.836,-0.263,-1.053,-0.998,0.804,9.800,-0.978,0.788,9.760,-0.978,0.788,9.761
143.007,-2.112,2.955,6.396,-1.667,-0.677,-0.669,-1.091,-0.984,0.775,9.793,-0.976,0.783,9.763,-0.978,0.787,9.761
143.017,1.305,1.490,-3.979,-0.887,0.058,-0.785,-0.863,-0.998,0.797,9.778,-0.974,0.783,9.766,-0.977,0.786,9.762
143.027,5.089,-1.194,-1.538,-0.090,0.237,-0.713,-0.517,-0.962,0.775,9.764,-0.973,0.783,9.770,-0.976,0.785,9.763
143.037,-0.647,4.298,5.053,0.329,0.995,-0.457,-0.129,-0.962,0.768,9.750,-0.973,0.786,9.770,-0.976,0.786,9.765
143.047,0.084,4.420,2.612,0.559,1.125,-0.093,0.241,-0.991,0.768,9.764,-0.975,0.784,9.769,-0.975,0.786,9.766
143.057,-1.136,1.612,-0.805,-0.145,0.509,-0.046,0.276,-0.948,0.811,9.750,-0.975,0.786,9.768,-0.976,0.785,9.767
143.067,-2.845,2.955,-3.735,-0.458,0.847,-0.168,0.451,-0.934,0.804,9.764,-0.976,0.787,9.762,-0.976,0.785,9.766
143.077,-0.769,1.612,2.368,-0.759,0.484,-0.326,0.475,-0.941,0.761,9.764,-0.972,0.784,9.759,-0.975,0.785,9.765
143.088,3.502,-3.758,3.710,-0.259,-0.159,-0.394,0.362,-0.934,0.783,9.800,-0.970,0.787,9.757,-0.975,0.786,9.763
143.098,-0.892,4.298,-6.299,-0.290,-0.181,-0.363,0.119,-0.941,0.804,9.771,-0.970,0.792,9.757,-0.974,0.787,9.761
143.108,3.990,-2.049,1.147,-0.079,0.051,-0.401,0.065,-1.005,0.790,9.742,-0.973,0.789,9.757,-0.973,0.787,9.761
143.118,3.746,1.857,4.077,1.425,1.165,0.095,0.356,-0.991,0.783,9.807,-0.973,0.787,9.759,-0.973,0.787,9.760
143.128,1.915,1.368,1.635,0.797,1.353,0.317,0.630,-0.984,0.783,9.800,-0.970,0.788,9.758,-0.972,0.787,9.759
143.138,-2.723,1.612,-3.613,0.388,1.558,0.410,0.908,-0.998,0.797,9.750,-0.971,0.788,9.755,-0.972,0.787,9.758
143.148,8.629,3.688,-4.956,1.113,1.383,0.459,1.002,-0.969,0.775,9.778,-0.973,0.788,9.761,-0.972,0.788,9.759
143.158,-4.065,1.246,1.147,0.967,2.133,0.810,1.333,-0.977,0.775,9.735,-0.978,0.788,9.759,-0.973,0.788,9.759
143.168,-5.408,3.688,-1.416,-0.188,1.496,0.661,1.348,-1.013,0.797,9.742,-0.982,0.787,9.761,-0.974,0.787,9.760
143.178,-7.606,4.298,-0.195,-0.672,1.941,0.293,1.489,-0.998,0.761,9.714,-0.982,0.783,9.762,-0.976,0.787,9.760
143.188,-4.554,2.711,-4.590,-1.425,1.603,-0.167,1.541,-0.977,0.775,9.742,-0.982,0.782,9.757,-0.977,0.786,9.760
143.198,-3.333,0.270,-3.735,-1.947,1.202,-0.604,1.535,-0.977,0.855,9.814,-0.980,0.792,9.762,-0.978,0.786,9.760
143.208,-3.821,-2.415,0.170,-2.021,0.172,-0.989,1.180,-0.998,0.811,9.735,-0.981,0.788,9.763,-0.978,0.787,9.761
143.218,-0.647,-1.194,-0.317,-1.374,0.033,-1.174,0.819,-0.998,0.768,9.728,-0.983,0.784,9.762,-0.979,0.786,9.761
143.228,0.084,2.223,-6.421,-0.824,0.812,-1.101,0.680,-0.977,0.775,9.786,-0.982,0.786,9.762,-0.980,0.786,9.761
143.238,-2.112,-1.316,-3.369,-1.049,-0.319,-1.060,0.426,-0.977,0.747,9.757,-0.985,0.781,9.761,-0.981,0.786,9.761
143.248,1.915,-7.786,0.536,-0.963,-0.814,-1.108,0.155,-0.905,0.783,9.778,-0.980,0.788,9.769,-0.982,0.786,9.762
143.259,2.281,4.664,0.414,-1.396,-0.954,-1.212,-0.293,-0.977,0.804,9.735,-0.978,0.788,9.767,-0.981,0.786,9.764
143.269,1.549,3.077,2.734,-0.715,-0.538,-1.167,-0.450,-0.962,0.783,9.714,-0.979,0.786,9.760,-0.981,0.786,9.764
143.279,1.061,5.885,-7.153,0.386,0.127,-0.727,-0.439,-0.926,0.775,9.742,-0.970,0.784,9.754,-0.979,0.786,9.762
143.289,2.404,1.734,-2.637,0.966,0.221,-0.239,-0.283,-1.020,0.775,9.757,-0.977,0.782,9.752,-0.978,0.785,9.760
143.299,3.868,3.199,4.321,0.621,-0.005,-0.008,-0.237,-0.977,0.732,9.764,-0.979,0.778,9.755,-0.978,0.784,9.759
143.309,-2.112,2.467,-3.979,0.134,0.043,0.094,-0.174,-0.969,0.797,9.771,-0.983,0.783,9.760,-0.979,0.784,9.759
143.319,3.746,-1.072,1.757,1.741,0.651,0.457,0.077,-0.955,0.761,9.771,-0.984,0.781,9.761,-0.980,0.784,9.759
143.329,-2.234,-2.537,-7.520,1.417,-0.434,0.817,0.004,-0.998,0.790,9.764,-0.987,0.783,9.762,-0.982,0.783,9.759
143.339,-3.699,-0.462,-6.543,0.475,-1.299,0.848,-0.354,-0.941,0.790,9.807,-0.977,0.786,9.764,-0.981,0.784,9.760
143.349,0.572,3.810,-4.101,0.332,-0.401,0.750,-0.500,-0.969,0.754,9.750,-0.981,0.784,9.760,-0.981,0.784,9.760
143.359,2.526,6.129,-0.683,0.216,0.290,0.526,-0.425,-0.977,0.754,9.786,-0.981,0.785,9.769,-0.981,0.785,9.761
143.369,-1.746,5.763,-1.294,0.377,1.084,0.476,-0.020,-0.991,0.775,9.771,-0.983,0.778,9.768,-0.981,0.784,9.763
143.379,3.868,1.734,-5.566,0.463,1.135,0.464,0.348,-0.991,0.811,9.778,-0.986,0.780,9.762,-0.982,0.783,9.763
143.389,-2.723,1.002,-3.125,0.840,1.276,0.572,0.559,-1.013,0.804,9.721,-0.993,0.781,9.757,-0.984,0.782,9.762
143.399,-3.821,-0.340,-6.543,0.346,1.152,0.617,0.812,-0.977,0.790,9.793,-0.990,0.781,9.762,-0.985,0.782,9.762
143.409,-1.014,3.688,-1.538,0.112,1.541,0.470,0.957,-0.998,0.783,9.821,-0.988,0.780,9.766,-0.986,0.782,9.762
143.420,2.526,6.373,1.391,0.810,1.753,0.506,1.142,-0.934,0.797,9.728,-0.982,0.780,9.758,-0.985,0.781,9.762
143.430,-0.281,-0.340,1.269,0.309,0.958,0.486,1.073,-0.991,0.768,9.714,-0.985,0.778,9.750,-0.985,0.780,9.760
143.441,3.136,5.030,3.344,0.480,1.447,0.402,1.129,-0.962,0.819,9.821,-0.985,0.782,9.760,-0.985,0.780,9.759
143.453,-0.647,-4.124,1.269,0.898,0.835,0.553,1.143,-0.984,0.790,9.814,-0.983,0.787,9.764,-0.985,0.781,9.759
143.465,-2.112,1.979,-2.026,0.604,0.736,0.641,1.047,-0.984,0.804,9.728,-0.984,0.789,9.756,-0.984,0.783,9.759
143.476,3.136,3.077,8.105,1.171,0.916,0.728,0.951,-1.020,0.797,9.771,-0.990,0.791,9.758,-0.985,0.784,9.759
143.488,-2.356,1.490,0.903,-0.407,0.434,0.530,0.759,-0.926,0.768,9.750,-0.986,0.787,9.763,-0.986,0.785,9.759
143.500,2.159,3.688,6.274,0.925,0.334,0.526,0.604,-0.984,0.768,9.728,-0.985,0.788,9.764,-0.986,0.786,9.760
143.512,-0.769,0.514,-3.247,0.321,-0.910,0.512,0.196,-1.056,0.790,9.771,-0.986,0.783,9.768,-0.985,0.786,9.762
143.524,-3.455,-3.636,-2.392,1.085,-0.828,0.715,-0.085,-1.020,0.783,9.699,-0.987,0.785,9.764,-0.985,0.786,9.763
143.535,-9.559,-5.101,-7.764,-0.223,-0.931,0.674,-0.281,-1.005,0.761,9.771,-0.985,0.787,9.762,-0.985,0.786,9.763
143.547,1.549,0.025,-2.392,0.280,-0.395,0.514,-0.371,-1.020,0.783,9.771,-0.984,0.788,9.759,-0.985,0.786,9.762
143.559,2.526,0.025,3.954,0.246,-0.905,0.352,-0.460,-0.962,0.797,9.714,-0.982,0.785,9.753,-0.985,0.786,9.761
143.571,-0.281,4.420,9.692,1.035,0.822,0.573,-0.244,-1.013,0.811,9.750,-0.983,0.787,9.755,-0.984,0.786,9.759
143.583,-0.037,0.636,-3.491,0.687,0.744,0.668,0.085,-0.941,0.747,9.742,-0.975,0.786,9.753,-0.983,0.786,9.758
143.594,0.328,2.711,0.658,0.498,0.967,0.649,0.379,-0.969,0.790,9.728,-0.979,0.784,9.748,-0.982,0.786,9.756
143.606,0.084,1.734,0.048,0.825,1.151,0.697,0.642,-0.984,0.811,9.793,-0.977,0.787,9.751,-0.981,0.786,9.755
143.618,-0.403,0.758,0.658,-0.123,1.015,0.450,0.792,-0.969,0.804,9.728,-0.980,0.787,9.744,-0.981,0.786,9.753
143.630,-3.943,-2.293,3.100,0.306,0.597,0.405,0.790,-0.998,0.768,9.728,-0.984,0.783,9.744,-0.981,0.785,9.751
143.642,2.404,1.124,9.448,0.103,0.186,0.288,0.671,-0.955,0.768,9.778,-0.982,0.780,9.753,-0.981,0.784,9.751
143.653,4.723,0.758,12.378,0.764,-0.043,0.370,0.478,-1.005,0.754,9.742,-0.984,0.786,9.752,-0.982,0.785,9.751
143.665,-5.286,3.566,-0.928,0.199,0.583,0.474,0.452,-0.883,0.661,9.958,-0.987,0.779,9.750,-0.983,0.785,9.750
143.677,-4.310,-5.955,1.147,-1.192,-0.209,0.071,0.385,-1.243,0.661,9.857,-1.006,0.779,9.737,-0.985,0.783,9.747
143.689,6.310,1.857,-13.013,0.018,0.619,-0.197,0.359,-1.005,1.113,9.814,-1.005,0.794,9.750,-0.990,0.783,9.746
143.701,-0.525,2.711,6.518,-0.365,0.646,-0.231,0.475,-0.847,0.581,10.447,-1.009,0.817,9.707,-0.994,0.792,9.736
143.712,3.014,1.124,-11.548,0.058,0.411,-0.264,0.433,-0.905,1.128,9.074,-1.007,0.764,9.725,-0.999,0.786,9.739
143.724,-0.525,-1.683,1.025,0.092,1.073,-0.194,0.563,-0.876,0.567,9.944,-1.028,0.837,9.667,-1.006,0.794,9.720
143.736,5.700,-0.096,10.669,-0.085,-0.167,-0.183,0.428,-2.241,-0.229,10.504,-1.106,0.686,9.820,-1.018,0.783,9.736
143.748,0.450,-2.049,-6.421,0.273,0.204,-0.086,0.284,-0.747,1.243,8.959,-1.060,0.721,9.739,-1.029,0.766,9.743
143.760,4.235,1.368,9.082,0.307,0.007,-0.056,0.177,-2.342,1.595,9.520,-1.154,0.844,9.724,-1.050,0.771,9.739
143.771,8.141,4.054,-15.210,1.627,-0.392,0.254,-0.054,-1.487,-0.380,10.181,-1.178,0.687,9.803,-1.078,0.762,9.745
143.783,9.728,0.514,-5.688,2.194,-0.856,0.718,-0.312,0.100,2.457,7.767,-1.035,0.929,9.658,-1.082,0.775,9.748
143.795,6.432,1.734,3.344,1.405,-0.466,0.967,-0.381,0.014,-1.796,11.000,-0.921,0.786,9.783,-1.046,0.792,9.736
143.807,4.479,0.270,0.048,1.739,0.335,1.211,-0.173,-2.062,3.829,12.897,-1.026,0.870,9.900,-1.030,0.795,9.758
143.819,1.305,6.251,-5.200,1.716,-0.723,1.287,-0.325,0.495,-0.402,7.501,-0.987,0.790,9.727,-1.021,0.797,9.767
143.830,2.281,-15.111,10.669,1.023,-1.992,1.290,-0.601,-5.403,-0.007,9.627,-1.159,0.919,9.816,-1.021,0.824,9.783
143.842,0.328,-6.077,2.245,0.901,-2.066,1.159,-0.904,3.463,2.543,10.274,-0.900,0.813,9.870,-1.030,0.812,9.790
143.854,1.305,-0.096,1.879,0.970,-0.994,1.094,-1.009,-0.107,-1.652,7.989,-0.977,0.735,9.801,-1.027,0.816,9.810
143.865,4.113,-8.885,0.414,1.290,-0.645,1.059,-0.812,-2.407,2.450,10.267,-1.119,0.741,9.821,-1.027,0.793,9.801
143.876,-6.263,3.810,-1.416,0.410,1.252,1.012,-0.328,-2.083,1.041,9.455,-1.073,0.746,9.669,-1.033,0.791,9.784
143.888,-5.164,-6.810,-0.805,0.502,0.300,0.969,-0.000,0.869,0.488,9.814,-1.023,0.744,9.733,-1.039,0.786,9.750
143.899,-8.826,4.298,-1.050,-0.508,-0.245,0.732,-0.130,1.271,1.846,7.573,-1.150,0.778,9.727,-1.093,0.761,9.777
143.910,-1.136,-0.340,9.936,-0.133,0.538,0.525,0.084,-5.345,-0.251,11.330,-1.075,0.519,9.616,-1.067,0.740,9.747
143.922,8.263,8.693,-0.561,0.360,-0.359,0.346,-0.103,-2.004,2.112,11.884,-1.008,0.500,9.734,-1.032,0.674,9.707
143.933,10.094,9.181,-2.026,2.454,0.998,0.761,0.038,3.154,-0.524,7.170,-0.812,0.567,9.688,-1.035,0.644,9.727
143.944,4.113,-7.908,4.077,0.466,0.036,0.736,0.226,-1.904,-0.100,11.884,-0.988,0.648,9.721,-1.005,0.637,9.714
143.956,-2.723,-1.805,-2.026,-1.272,-0.535,0.196,0.048,-0.790,3.132,8.284,-1.129,0.514,9.712,-1.023,0.598,9.719
143.968,4.967,-7.054,7.128,-1.872,-0.679,-0.616,-0.079,-3.391,-1.092,8.535,-1.095,0.660,9.660,-1.022,0.623,9.710
143.980,6.920,-5.589,0.536,-1.460,-1.105,-0.991,-0.341,-0.273,-1.860,10.626,-1.011,0.587,9.818,-1.032,0.635,9.715
143.991,1.915,2.833,-5.933,-1.414,-0.483,-1.082,-0.472,1.257,-1.530,10.684,-0.761,0.573,9.856,-1.013,0.644,9.752
144.003,-1.868,5.641,-3.979,-0.779,0.439,-1.059,-0.346,0.869,2.378,9.283,-0.766,0.710,9.790,-0.978,0.640,9.763
144.015,-5.286,0.270,12.133,-1.709,0.441,-1.093,-0.181,-2.665,3.204,11.122,-0.896,0.615,9.812,-0.948,0.615,9.761
144.027,-1.014,-4.002,5.908,0.204,-0.217,-0.711,-0.017,-2.026,1.163,9.045,-0.995,0.662,9.787,-0.932,0.603,9.774
144.038,0.328,1.612,12.622,-0.840,1.255,-0.623,0.357,-3.535,1.487,9.168,-1.275,0.813,9.759,-0.955,0.631,9.782
144.050,-8.460,7.350,2.123,-0.709,1.724,-0.602,0.626,-0.122,-1.192,8.198,-1.332,0.798,9.715,-1.030,0.685,9.772
144.061,-0.403,2.711,7.128,-1.349,1.825,-0.839,0.932,1.875,-2.708,10.346,-1.144,0.905,9.709,-1.100,0.776,9.757
144.072,4.113,4.054,9.814,-0.757,2.004,-0.959,1.052,-0.050,2.435,10.698,-0.892,0.813,9.775,-1.100,0.786,9.746
144.084,0.694,-2.171,-10.571,-0.458,1.158,-0.859,1.198,-2.780,1.983,10.181,-0.776,0.779,9.769,-1.022,0.773,9.742
144.095,-0.281,-7.420,-13.135,0.913,1.610,-0.447,1.447,0.265,0.086,7.774,-0.823,0.962,9.733,-0.982,0.802,9.759
144.106,-11.024,8.571,-4.468,0.135,2.232,-0.056,1.686,3.527,2.234,10.928,-0.782,1.012,9.609,-0.982,0.835,9.736
144.118,5.455,-5.223,3.588,0.521,0.998,0.097,1.765,-4.282,3.003,10.978,-0.909,1.061,9.618,-0.946,0.858,9.702
144.129,3.014,3.810,-12.158,0.193,-0.151,0.002,1.189,0.273,-2.608,9.599,-1.241,1.019,9.746,-0.966,0.916,9.695
144.141,1.427,15.895,6.884,0.750,0.817,0.282,0.734,7.831,0.898,11.984,-0.517,0.834,9.905,-1.038,0.926,9.722
144.152,3.380,-11.082,1.147,1.359,-0.094,0.468,0.780,-15.577,-1.925,7.422,-0.178,0.590,9.941,-0.752,0.877,9.786
144.163,10.827,14.552,21.045,2.083,0.103,0.735,0.186,-3.010,6.904,14.829,-0.465,0.336,10.209,-0.649,0.743,9.806
144.175,-25.795,-24.877,-9.229,1.629,-1.372,1.525,0.353,1.602,4.734,-0.445,-0.886,0.623,9.642,-0.637,0.630,9.934
144.186,3.014,9.059,-11.548,2.405,-0.441,1.872,-0.261,2.658,-0.301,17.531,-0.836,1.071,9.609,-0.772,0.691,9.754
144.198,11.315,12.843,-0.195,3.361,1.258,2.298,-0.093,-5.295,-2.751,22.323,-0.628,0.707,9.875,-0.718,0.812,9.760
144.209,8.019,-2.659,26.782,5.292,2.744,2.695,0.704,-1.300,9.239,-13.306,-0.803,0.394,9.491,-0.615,0.650,9.733
144.221,55.017,34.206,-17.530,10.004,5.979,4.491,1.905,9.915,0.071,26.843,-1.350,1.079,9.880,-0.877,0.656,9.694
144.232,1.671,22.487,-6.543,10.081,9.180,6.638,3.556,5.395,-13.119,12.638,-0.105,0.762,10.066,-0.962,0.842,9.846
144.244,-12.733,18.947,16.162,10.887,13.768,7.351,6.189,-5.101,21.231,-7.443,0.537,1.283,9.109,-0.511,0.827,9.761
144.255,16.808,9.547,-8.252,11.102,12.309,8.691,8.679,1.106,-4.806,24.515,-0.093,1.357,9.636,-0.339,0.912,9.591
144.267,57.947,20.046,25.195,15.487,13.390,9.999,9.955,-9.139,-14.851,10.863,-0.582,0.698,10.514,-0.312,1.048,9.727
144.278,29.992,14.308,-10.693,18.926,14.621,12.488,11.256,-5.130,0.086,11.352,-0.939,0.197,10.539,-0.422,0.805,9.978
144.290,58.313,12.355,11.523,23.617,11.524,15.335,11.410,-17.150,-7.249,19.866,-1.588,0.391,11.398,-0.580,0.691,10.104
144.302,19.738,1.124,-23.633,26.536,12.539,19.036,11.676,-4.454,-11.934,8.514,-1.765,-0.040,11.760,-0.884,0.593,10.578
144.314,50.501,-8.275,20.434,28.142,9.739,21.270,11.472,-14.887,3.585,15.613,-2.332,-0.164,11.734,-1.050,0.392,10.666
144.324,12.292,-19.383,-3.979,27.175,6.917,23.066,10.641,5.546,-2.536,-5.151,-2.400,-0.014,11.861,-1.352,0.305,10.974
144.334,12.169,-14.989,-20.459,24.062,5.288,23.714,9.693,0.639,-3.563,21.619,-1.455,-0.284,11.530,-1.438,0.280,11.058
144.344,17.541,4.420,8.227,20.123,5.586,23.009,8.700,-2.974,19.090,23.408,-1.490,-0.184,12.317,-1.391,0.092,11.156
144.355,-9.681,13.698,-0.073,18.921,8.085,22.303,8.297,21.152,-6.164,-9.146,-0.895,0.463,12.469,-1.453,0.140,11.487
144.365,-0.403,10.646,6.884,11.780,8.854,20.104,8.389,-14.219,-6.631,21.102,-0.181,0.053,12.005,-1.204,0.220,11.559
144.375,4.845,21.632,11.889,9.197,5.477,17.346,7.824,-3.915,19.485,23.351,-0.867,0.356,12.881,-1.048,0.109,11.660
144.385,-1.990,-47.949,-26.197,5.519,-2.836,14.857,6.154,9.721,-30.558,7.544,-0.419,0.837,13.306,-1.052,0.354,11.979
144.395,34.997,-69.434,-8.252,3.873,-9.055,11.742,3.258,-31.175,-5.525,22.848,-1.031,-0.206,13.621,-0.861,0.341,12.193
144.405,-55.092,-62.598,-26.563,-1.084,-18.408,9.407,-1.416,15.778,7.264,2.629,-1.564,-0.208,13.695,-1.068,0.141,12.497
144.416,-16.029,-18.163,-0.073,-10.734,-19.767,4.938,-6.157,-9.893,-13.651,21.928,-0.324,-0.693,13.542,-0.964,0.116,12.628
144.426,-53.750,-32.323,-25.464,-13.818,-26.250,0.811,-10.940,9.592,24.235,3.693,-0.906,-0.848,13.853,-0.951,-0.174,12.864
144.436,-34.584,-44.287,-15.332,-21.413,-32.935,-4.013,-16.056,10.425,-18.336,20.427,-0.006,-0.852,13.711,-0.937,-0.192,13.012
144.446,-52.407,-71.021,-27.662,-26.735,-36.970,-9.460,-20.757,-7.235,16.123,7.472,-0.194,-1.186,14.048,-0.710,-0.426,13.176
144.456,-43.129,-51.977,-16.431,-30.465,-41.208,-14.102,-25.729,4.045,-17.840,20.010,-0.179,-0.929,13.976,-0.709,-0.454,13.314
144.466,-60.464,-53.076,-11.670,-34.288,-41.301,-19.104,-29.682,-13.838,17.696,7.292,-0.602,-0.562,14.113,-0.559,-0.549,13.422
144.476,-63.760,-27.318,-15.088,-39.355,-46.261,-23.265,-33.876,10.447,-2.852,27.540,-0.658,-0.130,13.851,-0.688,-0.490,13.473
144.487,-25.062,-13.280,6.274,-35.679,-43.814,-27.216,-36.866,-1.983,9.699,4.483,-0.466,0.110,14.118,-0.582,-0.389,13.545
144.497,-45.449,-23.046,-1.416,-36.414,-39.284,-28.926,-37.691,0.215,-3.714,36.816,-0.347,0.316,13.765,-0.583,-0.251,13.548
144.507,-43.984,-17.796,-21.314,-31.596,-39.663,-30.178,-38.579,8.614,3.341,-0.287,-0.212,0.521,14.102,-0.508,-0.152,13.615
144.517,-64.492,-39.648,-4.590,-33.688,-36.501,-30.291,-38.155,-20.484,3.484,28.158,0.026,0.325,13.563,-0.354,-0.052,13.610
144.527,-36.171,22.975,-12.158,-29.969,-33.968,-30.583,-37.771,25.916,13.098,5.827,0.487,0.984,13.520,-0.327,0.012,13.573
144.538,-21.400,-0.096,-14.478,-25.869,-29.168,-29.845,-36.028,-9.211,11.783,14.039,0.995,1.175,13.218,-0.052,0.216,13.519
144.548,-17.616,10.524,12.866,-24.542,-27.150,-28.454,-34.219,1.063,-1.817,32.806,0.789,1.219,13.590,0.069,0.408,13.452
144.559,-56.435,20.656,-30.592,-20.422,-21.066,-26.599,-31.732,25.679,0.804,-23.775,1.494,1.040,12.797,0.221,0.525,13.504
144.570,76.747,-18.651,6.030,-12.463,-19.359,-24.220,-28.659,-17.589,13.953,45.653,1.149,1.168,12.977,0.520,0.575,13.224
144.581,26.208,-30.736,3.344,-4.510,-18.565,-19.723,-26.279,4.354,-18.056,1.472,1.258,0.700,12.720,0.536,0.700,13.279
144.591,-10.047,-36.840,-32.423,-0.381,-18.685,-14.894,-24.343,6.416,-4.540,8.636,1.176,0.033,12.319,0.640,0.572,13.141
144.602,79.554,-19.017,9.448,7.442,-16.654,-10.511,-22.681,-14.808,1.020,14.521,0.315,0.004,12.784,0.702,0.459,13.015
144.613,47.205,-27.562,18.115,14.403,-12.225,-4.423,-20.214,-21.138,-6.272,27.497,-0.451,-0.294,12.895,0.551,0.367,13.009
144.624,-27.137,13.087,-1.416,15.035,-7.801,0.592,-17.712,22.561,-6.409,-22.855,-0.192,-0.467,12.099,0.313,0.212,12.998
144.635,74.305,5.519,23.853,20.158,-2.856,4.445,-14.209,-18.221,14.226,23.293,-0.172,-0.130,11.734,0.362,0.105,12.708
144.646,45.984,34.572,27.637,23.531,0.959,9.096,-10.852,4.109,-12.193,20.240,-0.412,-0.289,12.188,0.175,0.088,12.598
