R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,-1550,50,1,50,1,50,375,0,0,0.995
sysTime,GPT1X,GPT2X,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
305.945,-0.024,0.147,0.211,0.205,0.140,0.141,0.048,0.253,0.253,0.196
305.956,0.368,0.227,0.198,0.205,0.156,0.158,0.051,0.263,0.267,0.199
305.967,-0.420,0.057,0.194,0.204,0.141,0.142,0.050,0.245,0.250,0.199
305.978,-2.177,-0.619,0.201,0.203,0.101,0.103,0.038,0.207,0.209,0.187
305.989,-1.437,-1.185,0.201,0.203,0.094,0.095,0.017,0.199,0.202,0.168
305.999,0.215,-0.605,0.197,0.203,0.124,0.126,0.015,0.228,0.232,0.167
306.010,-0.301,-0.356,0.201,0.202,0.118,0.119,0.014,0.222,0.225,0.168
306.021,-0.343,-0.374,0.192,0.202,0.100,0.101,0.009,0.202,0.207,0.164
306.032,0.122,-0.247,0.196,0.201,0.103,0.104,0.006,0.206,0.210,0.163
306.042,0.981,-0.033,0.200,0.201,0.110,0.112,0.007,0.215,0.217,0.165
306.052,1.295,0.342,0.198,0.201,0.119,0.121,0.016,0.223,0.226,0.175
306.063,0.198,0.557,0.201,0.201,0.120,0.121,0.028,0.224,0.226,0.187
306.073,0.121,0.429,0.201,0.201,0.121,0.123,0.030,0.225,0.227,0.190
306.084,0.791,0.534,0.201,0.201,0.141,0.142,0.035,0.244,0.246,0.197
306.095,-0.311,0.303,0.206,0.201,0.113,0.114,0.036,0.217,0.217,0.197
306.105,0.198,0.274,0.209,0.202,0.132,0.133,0.037,0.237,0.236,0.199
306.116,0.846,0.363,0.211,0.202,0.154,0.155,0.042,0.259,0.257,0.205
306.126,0.610,0.417,0.209,0.203,0.146,0.147,0.047,0.249,0.249,0.210
306.137,0.520,0.467,0.212,0.203,0.147,0.149,0.052,0.251,0.249,0.215
306.148,1.454,0.777,0.210,0.204,0.186,0.187,0.064,0.288,0.287,0.228
306.158,1.174,0.879,0.212,0.204,0.186,0.188,0.075,0.287,0.286,0.239
306.169,0.892,1.045,0.217,0.205,0.211,0.212,0.091,0.311,0.308,0.253
306.179,0.689,0.948,0.317,0.207,0.214,0.217,0.099,0.345,0.311,0.261
306.190,0.187,0.683,0.207,0.208,0.208,0.210,0.102,0.299,0.301,0.264
306.201,0.575,0.525,0.313,0.211,0.224,0.227,0.106,0.348,0.316,0.267
306.212,-0.417,0.173,0.201,0.208,0.201,0.202,0.104,0.282,0.289,0.263
306.223,-0.126,-0.098,0.186,0.205,0.204,0.205,0.099,0.276,0.289,0.255
306.233,-0.295,-0.118,0.167,0.200,0.208,0.208,0.098,0.270,0.288,0.252
306.244,0.892,0.138,0.164,0.195,0.247,0.247,0.102,0.304,0.322,0.254
306.255,1.502,0.533,0.193,0.193,0.279,0.281,0.115,0.345,0.351,0.264
306.265,2.027,0.950,0.156,0.189,0.290,0.290,0.130,0.329,0.356,0.276
306.276,2.020,1.394,0.159,0.189,0.313,0.313,0.152,0.346,0.375,0.296
306.287,2.199,1.711,0.168,0.185,0.347,0.347,0.176,0.377,0.402,0.315
306.297,1.043,1.674,0.131,0.182,0.339,0.339,0.194,0.351,0.387,0.329
306.308,-0.240,1.222,0.270,0.183,0.323,0.325,0.201,0.376,0.368,0.333
306.318,-0.249,0.654,0.379,0.194,0.311,0.314,0.197,0.397,0.357,0.329
306.329,-1.665,0.020,0.415,0.205,0.283,0.287,0.188,0.382,0.330,0.321
306.339,-0.105,-0.283,0.361,0.224,0.294,0.296,0.176,0.376,0.343,0.314
306.350,-0.430,-0.450,-0.025,0.220,0.273,0.270,0.169,0.222,0.313,0.303
306.361,-0.438,-0.570,-0.139,0.192,0.257,0.253,0.160,0.163,0.285,0.283
306.371,-1.802,-0.702,-0.087,0.165,0.243,0.239,0.154,0.158,0.260,0.265
306.382,-0.954,-0.807,0.025,0.148,0.254,0.252,0.143,0.200,0.264,0.246
306.392,-0.863,-0.829,0.323,0.151,0.233,0.236,0.132,0.277,0.246,0.234
306.403,0.694,-0.459,0.312,0.168,0.259,0.261,0.130,0.301,0.274,0.237
306.414,-0.212,-0.161,0.197,0.171,0.253,0.253,0.135,0.252,0.265,0.241
306.424,-0.443,-0.131,0.015,0.165,0.274,0.271,0.136,0.206,0.278,0.238
306.435,0.520,-0.191,-0.150,0.145,0.285,0.280,0.132,0.155,0.277,0.226
306.445,0.498,0.055,-0.228,0.115,0.293,0.286,0.137,0.126,0.270,0.219
306.456,-0.691,-0.075,-0.104,0.094,0.257,0.253,0.135,0.124,0.226,0.207
306.467,0.953,0.063,0.081,0.085,0.274,0.273,0.135,0.195,0.239,0.201
306.477,0.103,0.215,0.090,0.087,0.265,0.263,0.141,0.186,0.227,0.205
306.488,-0.198,0.193,0.060,0.088,0.279,0.276,0.144,0.186,0.236,0.206
306.498,0.058,-0.168,-0.164,0.077,0.262,0.256,0.136,0.087,0.209,0.190
306.509,0.075,-0.078,-0.208,0.055,0.264,0.257,0.136,0.064,0.199,0.181
306.520,-0.507,-0.171,-0.290,0.031,0.251,0.243,0.134,0.014,0.173,0.167
306.530,-2.095,-0.590,-0.354,0.002,0.205,0.196,0.123,-0.060,0.113,0.143
306.541,-0.777,-0.838,-0.095,-0.011,0.201,0.196,0.106,0.015,0.105,0.118
306.551,0.174,-0.554,-0.033,-0.013,0.219,0.215,0.104,0.053,0.121,0.112
306.562,-0.329,-0.376,0.047,-0.013,0.205,0.203,0.104,0.062,0.105,0.109
306.572,-0.794,-0.404,-0.040,-0.016,0.207,0.203,0.101,0.027,0.101,0.101
306.583,0.642,-0.205,0.109,-0.011,0.233,0.231,0.099,0.101,0.127,0.099
306.594,0.170,0.065,0.055,-0.003,0.232,0.229,0.105,0.081,0.125,0.105
306.604,-0.453,-0.014,-0.008,-0.000,0.223,0.219,0.104,0.050,0.112,0.103
306.615,-0.513,-0.177,0.052,0.000,0.216,0.212,0.100,0.058,0.103,0.096
306.625,0.291,-0.285,0.195,0.013,0.207,0.206,0.093,0.098,0.098,0.091
306.636,0.294,0.118,0.280,0.030,0.235,0.235,0.102,0.153,0.131,0.104
306.646,-0.078,0.177,0.107,0.036,0.244,0.241,0.105,0.104,0.136,0.108
306.657,0.050,0.134,0.073,0.033,0.255,0.251,0.106,0.099,0.142,0.106
306.668,0.343,0.180,0.024,0.026,0.269,0.265,0.109,0.092,0.150,0.105
306.678,0.873,0.419,0.063,0.017,0.295,0.291,0.118,0.122,0.169,0.108
306.689,0.865,0.419,-0.055,0.001,0.292,0.286,0.122,0.069,0.155,0.105
306.699,0.096,0.156,-0.104,-0.019,0.264,0.256,0.121,0.010,0.115,0.093
306.710,-0.829,-0.142,-0.087,-0.034,0.235,0.228,0.116,-0.020,0.078,0.080
306.720,-0.491,-0.450,-0.070,-0.039,0.215,0.207,0.104,-0.038,0.054,0.064
306.731,-0.341,-0.362,-0.029,-0.044,0.227,0.221,0.103,-0.015,0.062,0.059
306.742,0.441,-0.089,0.129,-0.049,0.260,0.256,0.107,0.056,0.092,0.058
306.752,-0.442,-0.073,0.145,-0.036,0.259,0.254,0.109,0.049,0.091,0.062
306.763,0.100,-0.075,0.245,0.000,0.269,0.265,0.106,0.084,0.111,0.070
306.773,-0.667,-0.304,0.163,0.031,0.231,0.226,0.099,0.026,0.081,0.072
306.784,-3.027,-0.902,0.140,0.039,0.165,0.159,0.081,-0.043,0.016,0.056
306.795,-1.763,-1.160,0.116,0.046,0.191,0.185,0.063,-0.022,0.044,0.040
306.806,-0.874,-0.928,0.026,0.052,0.228,0.220,0.057,-0.006,0.081,0.037
306.817,-0.967,-0.929,0.139,0.056,0.189,0.183,0.043,-0.008,0.045,0.026
306.828,0.378,-0.496,0.020,0.048,0.226,0.218,0.044,-0.022,0.076,0.024
306.839,-0.090,-0.220,0.169,0.052,0.218,0.211,0.046,0.001,0.070,0.029
306.850,-0.099,-0.299,0.068,0.056,0.232,0.222,0.043,-0.035,0.082,0.028
306.861,-0.736,-0.267,0.056,0.060,0.226,0.216,0.042,-0.032,0.076,0.029
306.873,-0.378,-0.449,0.134,0.061,0.215,0.209,0.033,0.018,0.069,0.021
306.884,-0.154,-0.445,0.066,0.075,0.205,0.199,0.026,0.015,0.065,0.021
306.895,-0.591,-0.391,-0.306,0.057,0.194,0.183,0.023,-0.071,0.043,0.013
306.906,-0.204,-0.325,-0.015,0.042,0.180,0.175,0.019,0.016,0.030,0.005
306.917,1.272,-0.142,-0.414,0.022,0.217,0.202,0.019,-0.118,0.050,0.000
306.927,0.354,0.412,-0.160,-0.004,0.232,0.219,0.036,-0.090,0.056,0.007
306.938,-1.307,-0.084,0.031,-0.000,0.180,0.168,0.028,-0.113,0.005,0.001
306.948,-1.660,-0.752,-0.025,-0.000,0.137,0.124,0.007,-0.165,-0.037,-0.019
306.960,-0.230,-0.335,-0.167,-0.001,0.201,0.189,0.010,-0.094,0.026,-0.015
306.972,-1.013,-0.393,0.080,-0.013,0.163,0.156,0.004,-0.051,-0.011,-0.025
306.983,-2.806,-1.351,0.221,0.013,0.086,0.074,-0.025,-0.187,-0.081,-0.045
306.994,-0.183,-1.334,-0.094,0.012,0.150,0.125,-0.042,-0.328,-0.029,-0.060
307.005,-0.613,-1.179,-0.066,0.005,0.115,0.088,-0.053,-0.377,-0.066,-0.071
307.016,0.077,-0.734,-0.145,-0.000,0.141,0.115,-0.053,-0.329,-0.040,-0.072
307.027,-1.147,-0.584,0.146,-0.010,0.097,0.078,-0.057,-0.255,-0.079,-0.077
307.039,-1.670,-0.873,0.463,0.032,0.064,0.048,-0.073,-0.234,-0.092,-0.075
307.050,-2.038,-1.350,-0.115,0.037,0.061,0.026,-0.096,-0.515,-0.109,-0.093
307.061,-2.742,-1.805,-0.028,0.026,0.015,-0.019,-0.124,-0.555,-0.155,-0.121
307.072,-2.444,-2.545,-0.003,0.027,-0.049,-0.084,-0.167,-0.593,-0.212,-0.159
307.084,-5.846,-3.392,0.623,0.046,-0.196,-0.215,-0.217,-0.469,-0.328,-0.196
307.095,-9.530,-5.351,0.705,0.095,-0.399,-0.413,-0.312,-0.565,-0.495,-0.266
307.106,-10.542,-7.357,0.264,0.117,-0.533,-0.562,-0.433,-0.899,-0.618,-0.367
307.118,-13.587,-9.225,0.474,0.134,-0.752,-0.785,-0.574,-1.140,-0.812,-0.487
307.129,-17.734,-12.284,1.063,0.191,-1.066,-1.105,-0.774,-1.480,-1.080,-0.646
307.141,-19.238,-14.303,0.962,0.259,-1.229,-1.285,-0.975,-1.817,-1.200,-0.798
307.153,-19.119,-16.268,0.452,0.292,-1.435,-1.516,-1.205,-2.323,-1.377,-0.983
307.164,-17.442,-17.275,0.200,0.291,-1.605,-1.703,-1.427,-2.650,-1.515,-1.168
307.176,-16.323,-16.527,0.535,0.297,-1.750,-1.849,-1.612,-2.727,-1.608,-1.307
307.187,-14.951,-16.219,0.956,0.332,-1.965,-2.060,-1.801,-2.796,-1.752,-1.437
307.198,-14.637,-15.923,0.747,0.377,-2.109,-2.213,-1.979,-2.949,-1.830,-1.549
307.210,-12.195,-14.592,0.272,0.381,-2.160,-2.278,-2.126,-3.104,-1.833,-1.639
307.221,-9.933,-13.618,0.208,0.367,-2.269,-2.389,-2.268,-3.158,-1.886,-1.729
307.232,-8.315,-11.159,0.691,0.375,-2.308,-2.420,-2.358,-2.981,-1.854,-1.757
307.243,-10.609,-10.858,1.208,0.420,-2.489,-2.589,-2.476,-2.864,-1.943,-1.799
307.255,-7.851,-9.826,1.080,0.472,-2.527,-2.627,-2.580,-2.807,-1.899,-1.823
307.266,-7.199,-8.790,1.170,0.516,-2.581,-2.681,-2.669,-2.749,-1.872,-1.832
307.278,-2.119,-6.814,1.574,0.579,-2.531,-2.632,-2.729,-2.603,-1.737,-1.805
307.290,-0.752,-4.394,1.935,0.661,-2.497,-2.596,-2.745,-2.418,-1.611,-1.726
307.301,1.541,-2.832,1.924,0.749,-2.503,-2.603,-2.763,-2.316,-1.524,-1.648
307.313,0.609,-1.284,2.156,0.842,-2.506,-2.608,-2.757,-2.223,-1.433,-1.544
307.324,-0.489,-0.880,2.616,0.963,-2.554,-2.648,-2.769,-2.045,-1.368,-1.447
307.336,-0.553,-0.573,3.271,1.119,-2.586,-2.666,-2.783,-1.745,-1.267,-1.340
307.348,3.726,0.400,4.054,1.323,-2.524,-2.600,-2.783,-1.466,-1.064,-1.201
307.359,7.273,2.537,4.583,1.571,-2.412,-2.479,-2.733,-1.082,-0.794,-0.996
307.371,11.410,5.020,4.435,1.812,-2.248,-2.318,-2.650,-0.798,-0.485,-0.758
307.383,19.839,9.487,4.032,2.002,-1.842,-1.929,-2.479,-0.477,0.029,-0.450
307.394,22.311,14.066,3.618,2.140,-1.537,-1.633,-2.245,-0.170,0.426,-0.102
307.406,22.567,17.424,3.268,2.232,-1.248,-1.364,-1.992,-0.045,0.773,0.243
307.417,25.211,19.659,2.650,2.281,-0.936,-1.070,-1.742,0.113,1.123,0.566
307.428,28.082,22.542,1.971,2.273,-0.534,-0.694,-1.444,0.244,1.525,0.906
307.440,30.297,25.311,1.403,2.215,-0.075,-0.270,-1.098,0.305,1.946,1.267
307.452,30.528,27.304,0.792,2.129,0.296,0.082,-0.754,0.451,2.273,1.604
307.463,30.335,28.347,0.372,2.015,0.638,0.414,-0.431,0.683,2.559,1.899
307.474,31.625,29.304,0.026,1.893,1.050,0.805,-0.069,0.840,2.889,2.219
307.485,31.196,29.887,-0.992,1.748,1.436,1.154,0.274,0.732,3.161,2.501
307.496,30.379,30.308,-1.035,1.592,1.792,1.506,0.620,1.013,3.422,2.771
307.507,26.673,29.530,-0.570,1.454,1.989,1.718,0.921,1.362,3.543,2.995
307.518,22.952,27.985,-0.100,1.356,2.151,1.899,1.200,1.726,3.643,3.204
307.529,20.444,25.871,0.349,1.287,2.295,2.047,1.437,1.900,3.718,3.375
307.540,14.695,22.812,0.667,1.242,2.308,2.063,1.624,1.920,3.668,3.502
307.551,9.871,19.464,0.744,1.208,2.344,2.097,1.769,1.915,3.639,3.587
307.562,6.853,15.986,0.562,1.174,2.376,2.124,1.869,1.873,3.603,3.625
307.573,5.596,12.658,0.254,1.128,2.388,2.126,1.932,1.749,3.539,3.621
307.585,4.711,10.132,0.103,1.070,2.434,2.166,1.990,1.699,3.508,3.606
307.596,3.742,8.237,-0.110,1.008,2.496,2.209,2.043,1.503,3.477,3.584
307.607,7.271,7.574,-0.424,0.934,2.696,2.376,2.112,1.294,3.563,3.571
307.619,5.953,7.247,-0.184,0.867,2.759,2.429,2.192,1.219,3.535,3.570
307.630,4.045,6.363,0.520,0.832,2.725,2.403,2.245,1.263,3.440,3.553
307.641,2.728,5.260,0.899,0.834,2.690,2.375,2.279,1.317,3.361,3.532
307.652,2.347,4.424,0.617,0.828,2.727,2.405,2.311,1.266,3.335,3.506
307.664,1.119,3.306,0.547,0.813,2.715,2.392,2.328,1.242,3.264,3.461
307.675,0.144,2.616,0.941,0.812,2.699,2.392,2.344,1.414,3.212,3.422
307.686,-1.594,1.278,1.278,0.833,2.594,2.297,2.328,1.421,3.077,3.359
307.698,-4.356,-0.064,1.903,0.878,2.497,2.209,2.300,1.452,2.960,3.296
307.709,-5.270,-1.857,2.582,0.966,2.371,2.084,2.234,1.361,2.827,3.214
307.720,-7.167,-2.973,2.587,1.058,2.316,2.022,2.177,1.263,2.761,3.146
307.731,-4.420,-3.855,1.911,1.124,2.351,2.035,2.109,1.094,2.764,3.061
307.743,-4.276,-3.698,1.360,1.146,2.377,2.042,2.073,0.930,2.745,2.995
307.754,-2.478,-3.821,1.272,1.158,2.364,2.024,2.026,0.886,2.699,2.914
307.765,-1.205,-2.945,1.047,1.154,2.409,2.050,2.013,0.742,2.691,2.864
307.777,1.345,-2.086,1.088,1.151,2.449,2.083,2.006,0.734,2.691,2.821
307.788,7.348,0.177,1.638,1.167,2.634,2.277,2.054,1.023,2.856,2.840
307.799,5.330,2.186,2.451,1.227,2.662,2.327,2.131,1.329,2.892,2.904
307.810,9.943,4.167,2.748,1.308,2.893,2.553,2.219,1.535,3.111,2.988
307.822,12.960,6.636,2.514,1.382,3.144,2.782,2.351,1.588,3.326,3.110
307.833,10.026,8.197,1.808,1.424,3.300,2.877,2.488,1.129,3.394,3.225
307.844,12.295,9.323,1.403,1.433,3.576,3.112,2.624,1.001,3.587,3.325
307.855,16.428,11.207,1.055,1.423,3.885,3.403,2.793,1.135,3.824,3.449
307.867,14.217,12.327,0.613,1.389,4.014,3.514,2.967,1.092,3.869,3.564
307.878,11.546,12.405,0.779,1.354,4.091,3.591,3.117,1.174,3.878,3.652
307.889,13.094,12.384,1.391,1.339,4.253,3.759,3.257,1.401,3.982,3.736
307.901,13.536,12.756,1.667,1.358,4.426,3.927,3.413,1.540,4.098,3.845
307.912,7.206,11.516,2.227,1.398,4.327,3.835,3.522,1.536,3.963,3.914
307.923,5.332,9.676,2.411,1.461,4.336,3.845,3.591,1.590,3.941,3.951
307.935,3.339,7.935,3.368,1.552,4.324,3.853,3.643,1.825,3.929,3.983
307.946,-2.154,5.331,4.058,1.686,4.149,3.678,3.643,1.707,3.755,3.981
307.957,-1.116,3.241,4.784,1.849,4.137,3.681,3.624,1.919,3.773,3.973
307.968,2.440,2.728,5.213,2.044,4.231,3.788,3.633,2.225,3.910,4.009
307.979,-1.121,2.001,5.036,2.226,4.141,3.692,3.638,2.152,3.842,4.039
307.991,-1.544,0.833,5.180,2.397,4.087,3.632,3.613,2.117,3.811,4.039
308.002,1.385,0.781,5.390,2.572,4.183,3.719,3.613,2.208,3.930,4.068
308.013,-2.207,0.255,5.273,2.747,4.106,3.622,3.604,2.028,3.869,4.092
308.024,0.584,-0.040,5.699,2.920,4.169,3.686,3.589,2.191,3.971,4.111
308.036,0.354,0.181,5.844,3.105,4.190,3.700,3.592,2.244,4.029,4.157
308.047,-2.154,-0.470,6.116,3.288,4.079,3.579,3.566,2.147,3.958,4.176
308.058,-0.266,-0.793,6.582,3.482,4.082,3.586,3.539,2.288,4.021,4.202
308.069,4.283,0.288,6.650,3.678,4.225,3.725,3.554,2.508,4.219,4.274
308.081,2.548,1.186,6.529,3.862,4.230,3.717,3.585,2.498,4.267,4.360
308.092,1.804,1.411,6.784,4.039,4.210,3.692,3.597,2.546,4.300,4.428
308.103,3.404,1.764,7.389,4.241,4.242,3.731,3.613,2.768,4.408,4.510
308.115,1.192,1.754,7.443,4.441,4.184,3.672,3.624,2.819,4.420,4.590
308.126,-0.145,1.131,7.507,4.627,4.107,3.594,3.611,2.859,4.415,4.645
308.137,-0.352,0.835,7.652,4.807,4.102,3.588,3.603,2.958,4.481,4.706
308.148,-3.764,-0.255,7.657,4.981,3.977,3.450,3.567,2.852,4.420,4.739
308.159,-3.687,-1.347,7.804,5.147,3.926,3.385,3.513,2.796,4.432,4.756
308.171,-3.376,-1.882,8.062,5.312,3.886,3.344,3.465,2.876,4.471,4.782
308.182,-0.114,-1.836,8.459,5.495,3.882,3.347,3.424,3.076,4.564,4.824
308.193,-2.550,-2.002,8.135,5.658,3.766,3.216,3.386,2.966,4.519,4.866
308.205,0.776,-1.459,7.496,5.781,3.872,3.299,3.367,2.995,4.676,4.915
308.215,-3.136,-1.495,7.039,5.867,3.775,3.186,3.345,2.876,4.625,4.949
308.226,1.212,-1.011,6.706,5.923,3.898,3.292,3.330,2.959,4.782,4.980
308.238,0.288,-0.749,6.364,5.955,3.871,3.242,3.320,2.836,4.775,5.008
308.249,1.747,-0.147,5.437,5.947,3.975,3.299,3.325,2.621,4.859,5.037
308.260,4.525,0.944,4.854,5.894,4.129,3.421,3.356,2.587,4.989,5.073
308.271,6.375,2.318,4.138,5.807,4.265,3.522,3.409,2.487,5.082,5.117
308.282,5.895,3.830,3.111,5.670,4.416,3.627,3.489,2.297,5.155,5.166
308.294,6.644,4.653,3.054,5.522,4.518,3.720,3.560,2.367,5.207,5.198
308.305,4.901,4.829,3.678,5.402,4.507,3.724,3.620,2.529,5.179,5.225
308.316,2.625,4.487,3.714,5.307,4.504,3.715,3.664,2.524,5.144,5.242
308.327,2.054,3.731,3.951,5.223,4.501,3.708,3.685,2.544,5.114,5.238
308.338,-5.639,1.464,3.923,5.146,4.258,3.454,3.655,2.278,4.843,5.184
308.349,-3.316,-0.081,4.162,5.075,4.301,3.497,3.613,2.378,4.870,5.121
308.360,-7.162,-2.093,4.817,5.041,4.105,3.315,3.544,2.377,4.688,5.044
308.371,-7.624,-3.587,5.684,5.061,4.002,3.233,3.464,2.532,4.627,4.978
308.382,-4.393,-4.196,5.818,5.106,4.014,3.240,3.391,2.597,4.664,4.929
308.393,-6.722,-4.867,5.900,5.153,3.868,3.072,3.314,2.382,4.531,4.880
308.404,-2.090,-4.461,6.132,5.206,3.950,3.126,3.258,2.344,4.623,4.856
308.415,-4.529,-4.393,6.569,5.284,3.789,2.967,3.202,2.327,4.514,4.842
308.426,-8.622,-5.450,6.269,5.360,3.590,2.748,3.110,2.091,4.348,4.795
308.437,-7.158,-5.918,5.573,5.390,3.593,2.718,3.023,1.953,4.358,4.739
308.448,-10.299,-6.849,5.207,5.384,3.424,2.533,2.922,1.762,4.203,4.658
308.459,-9.110,-7.483,5.038,5.365,3.389,2.482,2.817,1.708,4.177,4.571
308.470,-9.635,-8.628,4.535,5.326,3.219,2.282,2.688,1.417,4.002,4.454
308.481,-12.051,-9.286,3.987,5.249,3.067,2.105,2.566,1.165,3.835,4.332
308.492,-8.171,-9.091,3.753,5.155,3.074,2.103,2.457,1.185,3.837,4.218
308.503,-9.481,-9.263,3.597,5.052,2.912,1.925,2.344,0.997,3.662,4.097
308.514,-15.738,-10.965,3.971,4.966,2.536,1.551,2.179,0.733,3.301,3.932
308.526,-14.530,-11.874,4.351,4.914,2.432,1.446,2.017,0.727,3.222,3.783
308.537,-11.891,-12.207,4.227,4.869,2.324,1.321,1.856,0.613,3.129,3.640
308.548,-11.430,-12.433,3.990,4.820,2.178,1.159,1.704,0.460,2.999,3.508
