R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,50,0,30,0,50,375,0,0,0.995
sysTime,GPT1X,GPT2X,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
85.366,-0.446,0.117,0.042,0.045,0.126,0.126,0.114,0.122,0.122,0.128
85.377,-1.340,-0.327,0.044,0.045,0.092,0.092,0.104,0.087,0.086,0.115
85.389,-0.332,-0.562,0.046,0.045,0.102,0.102,0.093,0.094,0.094,0.102
85.400,-0.889,-0.701,0.052,0.046,0.077,0.076,0.085,0.068,0.066,0.091
85.411,0.038,-0.679,0.053,0.047,0.077,0.077,0.077,0.067,0.065,0.081
85.423,1.634,0.014,0.052,0.047,0.131,0.131,0.090,0.118,0.117,0.091
85.434,0.719,0.358,0.035,0.046,0.122,0.122,0.102,0.104,0.106,0.101
85.445,0.810,0.388,0.026,0.044,0.127,0.128,0.108,0.106,0.108,0.105
85.457,0.566,0.473,0.018,0.042,0.129,0.129,0.117,0.103,0.107,0.110
85.468,0.463,0.519,0.017,0.038,0.143,0.144,0.126,0.114,0.118,0.115
85.479,0.287,0.454,-0.019,0.033,0.147,0.149,0.131,0.110,0.119,0.117
85.491,-0.420,0.279,-0.077,0.017,0.120,0.125,0.131,0.071,0.090,0.112
85.502,-1.566,-0.149,-0.050,0.001,0.101,0.105,0.124,0.051,0.065,0.099
85.514,-0.766,-0.496,-0.084,-0.013,0.101,0.106,0.111,0.042,0.062,0.081
85.524,-0.203,-0.408,-0.042,-0.017,0.120,0.124,0.108,0.064,0.077,0.075
85.535,-0.291,-0.327,-0.299,-0.048,0.121,0.134,0.107,0.027,0.080,0.067
85.546,1.130,0.124,-0.310,-0.068,0.166,0.179,0.114,0.064,0.118,0.068
85.556,0.582,0.184,-0.227,-0.085,0.135,0.145,0.116,0.039,0.077,0.064
85.567,-0.181,0.241,0.015,-0.087,0.128,0.129,0.119,0.058,0.057,0.063
85.577,-0.483,-0.023,-0.137,-0.083,0.101,0.108,0.114,0.011,0.033,0.055
85.588,-0.918,-0.224,0.008,-0.068,0.086,0.088,0.109,0.012,0.012,0.047
85.598,-1.002,-0.445,-0.048,-0.060,0.080,0.083,0.101,-0.002,0.007,0.038
85.609,-0.016,-0.289,0.065,-0.053,0.107,0.107,0.100,0.036,0.028,0.035
85.620,-0.475,-0.204,0.172,-0.013,0.108,0.103,0.102,0.051,0.028,0.039
85.630,-1.138,-0.459,0.175,0.029,0.093,0.089,0.097,0.041,0.017,0.038
85.641,0.104,-0.537,0.237,0.054,0.106,0.098,0.090,0.063,0.030,0.033
85.651,-0.228,-0.327,0.280,0.083,0.103,0.095,0.093,0.066,0.029,0.039
85.662,0.071,-0.212,-0.183,0.049,0.090,0.101,0.092,-0.011,0.032,0.034
85.673,0.812,0.110,-0.483,-0.027,0.107,0.131,0.096,-0.041,0.050,0.027
85.683,-0.018,0.186,-0.260,-0.069,0.106,0.121,0.100,-0.023,0.032,0.023
85.694,1.282,0.387,-0.436,-0.094,0.123,0.146,0.105,-0.033,0.051,0.022
85.704,-0.024,0.415,-0.166,-0.104,0.111,0.124,0.111,-0.019,0.025,0.024
85.715,-1.170,-0.057,0.045,-0.086,0.084,0.088,0.104,-0.019,-0.010,0.016
85.727,-0.310,-0.349,0.293,-0.067,0.111,0.105,0.095,0.035,0.006,0.007
85.738,0.632,-0.095,0.355,0.007,0.150,0.143,0.103,0.084,0.050,0.022
85.750,0.593,0.100,0.305,0.030,0.148,0.143,0.109,0.078,0.051,0.030
85.760,-0.343,-0.035,0.877,0.094,0.129,0.103,0.110,0.129,0.020,0.038
85.771,-0.375,-0.153,1.223,0.204,0.149,0.110,0.112,0.199,0.041,0.054
85.781,-0.154,-0.128,1.111,0.316,0.157,0.123,0.118,0.206,0.069,0.075
85.792,0.754,-0.000,0.814,0.388,0.170,0.147,0.125,0.193,0.105,0.094
85.802,1.331,0.445,0.438,0.415,0.196,0.190,0.143,0.176,0.154,0.118
85.812,0.047,0.383,0.252,0.411,0.144,0.146,0.148,0.103,0.113,0.127
85.823,0.227,0.338,0.008,0.388,0.140,0.152,0.152,0.071,0.119,0.130
85.833,0.608,0.445,-0.260,0.335,0.151,0.175,0.159,0.043,0.137,0.133
85.844,0.457,0.405,-0.408,0.264,0.146,0.176,0.162,0.015,0.131,0.129
85.854,0.263,0.413,-0.377,0.192,0.148,0.177,0.166,0.015,0.124,0.124
85.864,1.007,0.598,-0.302,0.130,0.188,0.214,0.175,0.054,0.152,0.124
85.875,1.205,0.676,-0.073,0.092,0.201,0.220,0.182,0.085,0.152,0.126
85.885,-0.802,0.341,0.027,0.080,0.139,0.154,0.180,0.032,0.083,0.121
85.895,-1.153,-0.135,0.190,0.080,0.124,0.133,0.169,0.036,0.061,0.108
85.907,0.722,-0.095,0.394,0.117,0.180,0.180,0.169,0.118,0.112,0.111
85.917,0.402,0.085,0.599,0.194,0.178,0.171,0.178,0.145,0.112,0.129
85.927,0.502,0.316,0.449,0.266,0.198,0.196,0.191,0.157,0.146,0.151
85.937,0.009,0.366,0.150,0.305,0.196,0.207,0.201,0.127,0.162,0.166
85.949,0.274,0.344,0.199,0.297,0.219,0.228,0.207,0.154,0.183,0.172
85.959,0.881,0.471,0.365,0.249,0.242,0.245,0.213,0.190,0.195,0.173
85.970,0.623,0.480,0.237,0.265,0.236,0.245,0.222,0.170,0.196,0.183
85.981,0.839,0.590,0.510,0.279,0.270,0.271,0.234,0.227,0.224,0.197
85.993,-1.043,0.152,0.156,0.280,0.187,0.205,0.229,0.097,0.159,0.192
86.004,-0.683,-0.275,0.146,0.287,0.176,0.195,0.217,0.087,0.150,0.182
86.015,0.099,-0.166,-0.074,0.259,0.201,0.232,0.219,0.080,0.183,0.179
86.026,-0.050,-0.125,-0.116,0.246,0.197,0.227,0.219,0.075,0.177,0.179
86.037,-0.439,-0.117,-0.566,0.163,0.173,0.222,0.217,-0.003,0.161,0.166
86.047,-1.220,-0.286,-0.612,0.070,0.140,0.189,0.207,-0.050,0.117,0.143
86.058,-1.886,-0.645,-0.792,-0.078,0.098,0.149,0.185,-0.110,0.056,0.101
86.069,-1.620,-0.879,-0.479,-0.178,0.113,0.151,0.166,-0.072,0.043,0.066
86.079,-1.853,-1.250,-0.149,-0.237,0.092,0.112,0.142,-0.056,-0.006,0.030
86.089,-2.149,-1.442,0.366,-0.191,0.113,0.105,0.125,0.040,-0.011,0.015
86.100,-2.537,-1.892,-0.035,-0.100,0.035,0.056,0.099,-0.105,-0.051,-0.002
86.110,-4.645,-2.475,-0.053,-0.110,-0.067,-0.032,0.062,-0.245,-0.142,-0.042
86.121,-4.834,-3.423,0.075,-0.117,-0.148,-0.118,0.005,-0.311,-0.228,-0.101
86.131,-1.059,-3.092,-0.267,-0.105,-0.108,-0.053,-0.023,-0.330,-0.161,-0.129
86.142,-1.541,-2.359,-0.256,-0.123,-0.114,-0.057,-0.030,-0.342,-0.167,-0.138
86.152,-4.707,-2.719,-0.141,-0.139,-0.209,-0.161,-0.061,-0.411,-0.273,-0.171
86.163,-3.716,-3.502,-0.046,-0.113,-0.270,-0.222,-0.114,-0.465,-0.327,-0.221
86.173,-2.525,-3.318,0.120,-0.108,-0.251,-0.214,-0.144,-0.410,-0.316,-0.249
86.184,-0.559,-2.221,0.252,-0.059,-0.178,-0.146,-0.147,-0.313,-0.240,-0.243
86.196,-2.226,-1.898,0.177,-0.059,-0.214,-0.179,-0.156,-0.355,-0.270,-0.251
86.206,1.737,-1.834,0.252,0.013,-0.185,-0.150,-0.175,-0.311,-0.229,-0.257
86.217,5.962,1.352,-0.068,-0.028,-0.023,0.034,-0.112,-0.209,-0.049,-0.196
86.228,8.958,3.017,-0.495,-0.018,0.047,0.123,-0.052,-0.178,0.040,-0.133
86.238,12.186,6.460,-0.819,-0.180,0.188,0.299,0.063,-0.139,0.192,-0.037
86.249,12.498,8.235,-0.428,-0.184,0.349,0.451,0.186,0.036,0.336,0.080
86.260,11.527,10.111,0.792,-0.147,0.512,0.573,0.324,0.300,0.450,0.215
86.270,10.972,9.761,0.610,0.045,0.525,0.629,0.429,0.224,0.518,0.335
86.281,5.108,8.959,0.110,0.054,0.466,0.595,0.517,0.099,0.477,0.417
86.291,4.480,7.101,-0.712,0.022,0.473,0.597,0.555,0.116,0.468,0.444
86.302,0.553,4.791,0.600,-0.013,0.408,0.489,0.565,0.152,0.349,0.441
86.313,0.234,3.252,1.156,0.145,0.399,0.485,0.576,0.148,0.357,0.463
86.325,-7.158,0.268,0.690,0.238,0.175,0.286,0.539,-0.121,0.167,0.431
86.336,-12.457,-4.460,1.984,0.407,-0.092,-0.024,0.414,-0.252,-0.117,0.325
86.347,-17.671,-8.539,2.115,0.640,-0.332,-0.264,0.269,-0.449,-0.317,0.210
86.358,-18.540,-12.538,0.586,0.718,-0.603,-0.460,0.069,-0.871,-0.485,0.029
86.369,-12.736,-13.517,-0.050,0.625,-0.684,-0.510,-0.105,-1.009,-0.526,-0.144
86.380,-11.083,-12.549,0.455,0.565,-0.755,-0.602,-0.229,-1.008,-0.605,-0.261
86.392,-9.070,-11.959,0.807,0.580,-0.857,-0.715,-0.351,-1.052,-0.695,-0.366
86.403,-3.688,-9.196,0.734,0.610,-0.770,-0.629,-0.401,-0.933,-0.586,-0.396
86.414,-3.049,-6.745,0.898,0.637,-0.751,-0.625,-0.422,-0.849,-0.560,-0.398
86.425,0.842,-4.617,1.228,0.707,-0.667,-0.568,-0.428,-0.667,-0.476,-0.379
86.436,1.806,-2.336,1.659,0.814,-0.600,-0.527,-0.399,-0.504,-0.404,-0.320
86.447,2.066,-0.624,1.566,0.926,-0.538,-0.459,-0.358,-0.423,-0.304,-0.248
86.458,2.626,0.698,0.907,0.968,-0.504,-0.385,-0.314,-0.458,-0.207,-0.181
86.468,3.238,1.676,0.208,0.908,-0.489,-0.328,-0.273,-0.531,-0.141,-0.130
86.479,1.658,1.595,0.927,0.861,-0.490,-0.349,-0.247,-0.465,-0.152,-0.095
86.490,0.108,1.396,2.956,1.046,-0.419,-0.352,-0.215,-0.177,-0.117,-0.027
86.500,0.561,0.904,3.311,1.366,-0.377,-0.318,-0.187,-0.060,-0.027,0.056
86.511,1.854,1.231,1.839,1.517,-0.364,-0.235,-0.147,-0.174,0.093,0.133
86.522,3.450,1.601,0.784,1.455,-0.391,-0.195,-0.116,-0.341,0.145,0.176
86.532,2.093,1.943,1.644,1.428,-0.374,-0.189,-0.076,-0.272,0.166,0.230
86.543,2.119,1.984,2.126,1.540,-0.348,-0.165,-0.037,-0.203,0.221,0.300
86.554,4.561,2.296,1.665,1.588,-0.298,-0.068,0.006,-0.231,0.341,0.366
86.564,2.292,2.193,1.642,1.586,-0.344,-0.088,0.046,-0.309,0.337,0.421
86.575,1.986,2.009,2.120,1.629,-0.316,-0.071,0.080,-0.220,0.376,0.476
86.586,0.707,1.789,2.002,1.696,-0.303,-0.047,0.115,-0.199,0.424,0.534
86.596,-0.904,0.941,1.668,1.713,-0.347,-0.059,0.129,-0.288,0.431,0.564
86.607,-2.280,-0.326,1.911,1.724,-0.379,-0.093,0.122,-0.281,0.415,0.573
86.617,-4.300,-1.665,2.243,1.772,-0.416,-0.134,0.104,-0.271,0.396,0.575
86.628,-5.408,-2.647,2.326,1.859,-0.474,-0.183,0.077,-0.309,0.376,0.574
86.639,-5.513,-3.827,1.599,1.859,-0.592,-0.251,0.030,-0.510,0.327,0.544
86.649,-7.940,-5.164,2.140,1.815,-0.714,-0.382,-0.031,-0.579,0.213,0.494
86.660,-9.381,-6.526,3.076,1.941,-0.784,-0.476,-0.099,-0.540,0.156,0.459
86.671,-9.503,-7.673,1.953,2.036,-0.931,-0.546,-0.176,-0.815,0.122,0.413
86.681,-8.554,-8.175,0.314,1.854,-1.085,-0.604,-0.262,-1.171,0.067,0.326
86.692,-9.135,-8.364,1.053,1.673,-1.164,-0.686,-0.344,-1.217,-0.013,0.241
86.703,-10.537,-8.704,2.834,1.789,-1.222,-0.787,-0.419,-1.116,-0.078,0.199
86.714,-8.628,-9.169,1.904,1.895,-1.350,-0.831,-0.502,-1.380,-0.083,0.151
86.724,-6.890,-8.663,1.599,1.843,-1.407,-0.839,-0.566,-1.505,-0.073,0.103
86.735,-5.902,-7.311,3.434,1.960,-1.367,-0.844,-0.596,-1.296,-0.039,0.109
86.746,-5.385,-6.842,4.428,2.286,-1.415,-0.899,-0.625,-1.235,-0.028,0.145
86.756,-2.285,-5.777,1.216,2.346,-1.519,-0.839,-0.641,-1.656,0.068,0.165
86.767,-1.456,-3.809,-0.175,2.033,-1.561,-0.797,-0.639,-1.868,0.099,0.155
86.778,-1.114,-3.314,2.547,1.936,-1.536,-0.844,-0.651,-1.624,0.063,0.154
86.789,-0.239,-1.642,3.090,2.084,-1.417,-0.725,-0.606,-1.433,0.220,0.238
86.800,0.207,-1.463,2.064,2.126,-1.465,-0.735,-0.594,-1.512,0.238,0.277
86.812,2.831,-0.310,1.010,2.002,-1.423,-0.652,-0.563,-1.523,0.325,0.314
86.823,4.061,1.382,1.310,1.873,-1.334,-0.573,-0.504,-1.373,0.404,0.374
86.834,0.643,1.738,1.689,1.823,-1.332,-0.584,-0.454,-1.300,0.400,0.433
86.845,3.710,1.530,0.766,1.734,-1.325,-0.514,-0.428,-1.399,0.472,0.461
86.857,4.180,2.677,-0.367,1.508,-1.299,-0.415,-0.366,-1.525,0.552,0.505
86.868,5.518,3.641,-0.114,1.277,-1.214,-0.317,-0.304,-1.453,0.624,0.544
86.879,3.782,3.765,1.091,1.197,-1.170,-0.313,-0.246,-1.287,0.617,0.593
86.890,4.639,4.212,1.248,1.233,-1.072,-0.219,-0.178,-1.145,0.713,0.665
86.900,3.448,3.888,0.911,1.188,-1.056,-0.186,-0.127,-1.140,0.738,0.709
86.911,2.909,3.965,1.461,1.180,-0.955,-0.116,-0.069,-0.937,0.803,0.764
86.922,2.352,3.265,1.132,1.172,-0.939,-0.095,-0.031,-0.905,0.817,0.796
86.933,6.487,3.344,-0.821,1.023,-0.912,0.017,0.007,-1.066,0.906,0.813
86.944,3.505,4.024,-0.772,0.760,-0.845,0.068,0.071,-0.969,0.915,0.837
86.955,7.041,4.131,0.457,0.673,-0.744,0.131,0.115,-0.771,0.954,0.859
86.967,10.284,6.235,2.952,0.851,-0.451,0.313,0.237,-0.191,1.139,0.987
86.978,7.457,7.096,4.678,1.286,-0.338,0.364,0.368,0.118,1.225,1.157
86.989,5.034,7.146,5.374,1.859,-0.223,0.453,0.493,0.365,1.371,1.340
87.001,-3.442,4.391,4.094,2.230,-0.390,0.322,0.539,0.176,1.281,1.427
87.013,-5.349,0.722,2.262,2.306,-0.508,0.260,0.505,-0.033,1.234,1.405
87.023,-3.506,-1.125,0.317,2.169,-0.605,0.244,0.456,-0.306,1.206,1.343
87.034,-0.165,-1.124,-0.445,1.896,-0.529,0.351,0.444,-0.303,1.281,1.300
87.045,3.174,-0.172,0.037,1.636,-0.405,0.463,0.461,-0.165,1.360,1.284
87.056,6.238,1.331,0.941,1.513,-0.252,0.578,0.513,0.072,1.453,1.316
87.068,5.115,2.501,1.303,1.478,-0.248,0.568,0.576,0.113,1.430,1.368
87.079,0.583,2.187,1.396,1.465,-0.356,0.456,0.608,0.025,1.307,1.389
87.090,5.991,3.217,1.287,1.457,-0.104,0.709,0.673,0.281,1.548,1.444
87.101,9.079,4.644,1.014,1.431,0.068,0.882,0.765,0.456,1.705,1.523
87.113,6.357,5.377,0.955,1.392,0.107,0.912,0.856,0.514,1.716,1.598
87.124,6.464,5.716,0.960,1.349,0.203,1.001,0.935,0.622,1.784,1.658
87.135,4.639,5.633,1.193,1.307,0.211,1.016,1.003,0.610,1.778,1.707
87.146,-0.871,4.185,1.538,1.334,0.094,0.895,1.030,0.503,1.645,1.723
87.158,-3.521,2.416,2.243,1.418,0.084,0.881,1.033,0.513,1.625,1.720
87.169,-0.708,1.136,4.545,1.684,0.198,0.950,1.032,0.756,1.711,1.736
87.180,-2.065,0.289,5.332,2.075,0.135,0.912,1.045,0.685,1.707,1.782
87.191,-0.187,0.075,5.717,2.470,0.208,0.994,1.070,0.790,1.827,1.846
87.203,1.049,0.274,5.225,2.850,0.241,1.066,1.110,0.796,1.939,1.927
87.214,5.075,1.019,4.305,3.047,0.324,1.205,1.161,0.796,2.100,2.001
87.225,1.817,1.264,3.238,3.105,0.212,1.133,1.205,0.626,2.038,2.055
87.236,5.356,2.746,2.239,3.043,0.417,1.379,1.285,0.756,2.276,2.130
87.247,8.989,4.734,1.774,2.905,0.630,1.604,1.390,0.948,2.482,2.220
87.259,12.446,6.642,1.641,2.781,0.839,1.811,1.514,1.161,2.666,2.327
87.270,11.000,7.904,1.784,2.669,0.897,1.868,1.644,1.218,2.700,2.437
87.281,9.215,8.225,1.498,2.561,0.922,1.910,1.753,1.202,2.718,2.525
87.293,6.746,8.272,1.800,2.473,0.987,1.965,1.856,1.284,2.749,2.607
87.304,7.820,7.917,3.716,2.527,1.148,2.062,1.945,1.591,2.837,2.690
87.315,6.605,7.596,5.828,2.822,1.274,2.120,2.049,1.891,2.913,2.813
87.326,-1.209,5.788,7.104,3.274,1.186,1.984,2.116,1.952,2.816,2.920
87.337,1.665,4.258,6.791,3.681,1.270,2.098,2.157,2.026,2.970,3.000
87.349,-1.736,2.581,6.956,4.066,1.207,2.042,2.189,2.001,2.955,3.073
87.360,-0.958,1.520,7.099,4.414,1.216,2.096,2.216,1.966,3.050,3.139
87.371,1.111,1.115,6.865,4.696,1.245,2.173,2.250,1.949,3.162,3.210
87.382,2.688,1.437,6.671,4.911,1.307,2.255,2.304,2.014,3.276,3.295
87.394,5.420,1.876,6.826,5.093,1.396,2.346,2.365,2.146,3.395,3.383
87.405,9.829,3.917,7.558,5.359,1.630,2.563,2.488,2.467,3.649,3.545
87.416,11.904,6.129,7.548,5.604,1.775,2.755,2.645,2.565,3.875,3.738
87.427,14.713,8.709,8.290,5.866,2.071,3.038,2.841,2.937,4.193,3.973
87.439,16.699,10.775,8.161,6.157,2.322,3.290,3.055,3.241,4.484,4.228
87.450,20.462,13.080,7.987,6.392,2.623,3.589,3.290,3.592,4.814,4.499
87.461,20.490,15.357,8.083,6.595,2.879,3.853,3.556,3.873,5.104,4.796
87.472,18.253,16.388,7.615,6.744,3.022,4.026,3.802,3.990,5.297,5.065
87.484,20.538,17.263,6.242,6.768,3.243,4.309,4.041,4.107,5.583,5.311
87.495,18.304,17.862,5.666,6.688,3.393,4.473,4.278,4.233,5.736,5.540
87.506,15.545,17.339,5.996,6.612,3.532,4.583,4.481,4.439,5.832,5.731
87.517,14.453,16.717,5.542,6.526,3.685,4.758,4.673,4.546,5.989,5.907
87.529,10.375,15.257,4.540,6.365,3.703,4.830,4.827,4.445,6.032,6.033
87.540,8.436,13.453,3.002,6.076,3.717,4.915,4.940,4.291,6.071,6.099
87.551,7.179,11.821,1.805,5.617,3.742,4.997,5.024,4.159,6.082,6.113
87.562,1.935,9.274,1.505,5.182,3.644,4.891,5.059,4.032,5.906,6.076
87.573,0.235,6.945,1.597,4.794,3.639,4.878,5.068,3.997,5.823,6.014
87.585,-5.616,3.568,1.110,4.418,3.433,4.692,5.020,3.703,5.568,5.893
87.596,-3.700,1.307,-0.720,3.916,3.374,4.719,4.954,3.416,5.506,5.736
87.607,-9.415,-1.793,-1.234,3.366,3.084,4.449,4.836,3.022,5.142,5.519
87.619,-10.177,-4.378,-1.194,2.869,2.953,4.307,4.696,2.848,4.909,5.283
87.629,-15.668,-7.439,-1.189,2.403,2.639,3.982,4.520,2.494,4.496,5.013
87.640,-13.480,-9.799,-1.873,1.962,2.483,3.857,4.325,2.216,4.283,4.725
87.651,-10.109,-10.205,-3.051,1.435,2.390,3.812,4.158,1.956,4.139,4.454
87.663,-7.665,-9.951,-3.053,0.929,2.320,3.727,4.009,1.843,3.953,4.200
87.674,-3.329,-8.564,-2.977,0.486,2.333,3.728,3.900,1.810,3.855,3.991
87.685,-3.558,-7.049,-2.194,0.126,2.257,3.628,3.818,1.715,3.664,3.817
87.696,-3.531,-6.008,-1.882,-0.133,2.178,3.555,3.742,1.567,3.508,3.657
87.708,-6.908,-5.826,-3.018,-0.417,1.931,3.372,3.647,1.136,3.242,3.476
87.719,-8.258,-6.505,-3.982,-0.798,1.762,3.225,3.518,0.859,3.000,3.250
