R
Px,I,D,Py,I,D,Pz,I,D,FFrx,y,FFdrx,y,satI,satPID,DTermC
175,25,1600,200,25,1900,1200,500,0,0,0,0,7,75,10
sysTime,GRawX,GRawY,GRawZ,GPT1Y,GPT1X,GPT2X,GPT2Y
82.490,-1.354,-3.245,3.325,0.849,0.283,0.800,0.388
82.502,-3.063,0.172,0.029,-0.003,-0.696,0.654,-0.018
82.513,-1.720,1.637,-2.900,0.185,0.342,0.412,0.005
82.524,0.965,-1.536,4.058,-0.736,0.051,-0.001,0.181
82.535,3.772,-2.757,0.151,0.588,0.546,-0.113,0.416
82.547,-0.133,-5.321,4.546,0.153,-0.294,0.080,0.338
82.558,-11.852,-4.466,3.203,-0.916,-1.177,0.031,-0.142
82.569,-0.255,-6.297,-1.679,-1.015,-1.304,-0.461,-0.663
82.580,10.608,5.421,4.302,0.152,-0.412,-0.567,-0.803
82.592,-9.533,0.172,-6.928,-1.320,-0.880,-0.544,-0.773
82.603,9.266,-2.391,-5.707,-0.028,-0.285,-0.747,-0.749
82.614,-0.621,-3.734,-1.313,0.126,-0.504,-0.511,-0.681
82.625,3.040,6.275,4.424,0.174,1.123,-0.300,-0.225
82.637,6.336,1.148,-0.702,0.912,0.377,-0.082,0.133
82.648,0.110,-5.809,-1.435,-0.614,-0.272,-0.142,0.052
82.659,-1.354,2.125,11.016,-0.589,0.141,-0.290,0.012
82.670,2.429,0.172,1.494,-0.259,0.128,-0.339,0.076
82.681,-0.133,-3.245,1.128,-1.341,-0.142,-0.613,0.093
82.693,2.918,-4.588,-7.416,-1.061,-0.940,-0.887,-0.278
82.704,1.331,0.172,0.518,-0.501,0.276,-0.785,-0.311
82.715,-2.697,-9.837,-2.655,-0.261,-0.605,-0.574,-0.159
82.726,5.970,-3.856,-0.702,0.476,-0.522,-0.425,-0.331
82.738,-3.795,-3.001,-2.533,0.209,-0.543,-0.157,-0.427
82.749,-6.115,1.148,2.593,-1.053,0.055,-0.280,-0.312
82.760,5.725,6.764,9.185,0.943,0.164,-0.069,-0.268
82.771,2.063,-6.053,-7.660,0.674,-1.685,0.260,-0.578
82.783,4.871,-0.682,0.029,1.123,-1.045,0.464,-0.909
82.794,-3.307,-5.077,-1.313,-0.047,-1.422,0.393,-0.977
82.805,-3.917,-8.006,-1.557,-1.034,-1.111,0.052,-0.976
82.816,-0.133,-3.734,-2.533,-0.410,-1.924,-0.326,-1.146
82.827,0.110,4.810,1.860,0.309,-0.419,-0.240,-1.131
82.839,-0.988,5.421,-0.824,0.186,-0.704,-0.017,-0.977
82.850,1.575,-1.658,12.725,-0.233,-0.715,-0.125,-0.804
82.861,3.162,0.172,-5.707,0.419,-0.517,-0.089,-0.754
82.872,-0.988,2.735,4.912,-0.506,0.095,-0.229,-0.517
82.884,-2.453,0.660,4.424,-0.487,-0.766,-0.292,-0.519
82.895,3.040,2.857,-0.092,-0.586,-1.259,-0.407,-0.783
82.906,-0.011,-2.147,-6.195,0.791,-0.895,-0.081,-0.746
82.917,-0.499,3.712,7.110,0.238,-1.357,0.129,-1.087
82.929,-1.720,-2.391,-5.341,0.334,-1.320,0.347,-1.240
82.940,-0.133,-3.490,-2.533,0.463,-1.261,0.418,-1.160
82.951,-1.720,-4.222,-2.777,-0.213,-1.200,0.245,-1.088
82.962,-3.917,7.008,-0.336,0.380,0.246,0.237,-0.812
82.974,-2.819,-1.903,-10.346,-0.268,-1.426,-0.058,-0.857
82.985,-1.110,-6.297,-1.313,-0.782,-2.121,-0.331,-1.263
82.996,1.209,-2.147,-5.829,0.571,-0.445,-0.142,-1.040
83.007,-5.993,-2.757,1.738,-0.012,-0.523,0.166,-0.813
83.019,-4.406,-0.072,-3.876,-0.312,0.014,0.059,-0.545
83.030,1.819,-5.077,-4.486,-0.298,0.215,-0.189,-0.158
83.041,1.209,-0.438,-1.068,0.564,-0.074,0.033,-0.062
83.052,-8.068,-5.565,-5.097,-0.166,-0.801,0.251,-0.170
83.064,2.918,-0.438,-4.853,-0.325,0.066,-0.025,-0.109
83.075,4.138,-4.710,-0.336,0.511,0.817,0.037,0.293
83.086,-2.697,-2.269,2.959,-0.521,0.775,-0.140,0.519
83.097,4.261,3.346,3.203,0.022,1.068,-0.206,0.828
83.109,-1.598,-3.734,-6.562,-0.096,0.176,-0.145,0.696
83.120,-6.359,-7.030,5.401,-0.860,0.119,-0.204,0.686
83.131,-6.969,-1.292,2.837,-2.005,0.246,-0.691,0.524
83.142,2.551,-1.536,8.452,-1.594,-0.056,-1.339,0.257
83.153,0.232,1.637,-0.336,-0.996,0.952,-1.399,0.217
83.165,-1.476,-0.926,0.396,-1.499,0.464,-1.337,0.426
83.176,-5.382,-0.316,-5.585,-1.751,0.809,-1.430,0.491
83.187,1.209,2.979,-3.144,-2.039,0.023,-1.747,0.332
83.198,3.040,8.106,1.372,-0.606,0.399,-1.507,0.061
83.210,-3.429,-1.414,-4.486,-0.213,0.448,-0.888,0.176
83.221,1.453,-2.269,1.982,0.923,-0.346,-0.336,0.089
83.232,-5.627,-1.903,3.203,0.391,0.108,0.036,0.253
83.243,-1.110,1.392,4.424,-0.283,0.906,-0.077,0.450
83.255,-2.331,-6.053,-6.318,-0.466,-1.257,-0.243,0.018
83.266,-4.894,0.782,1.128,-0.123,-0.604,-0.094,-0.251
83.277,-3.551,0.050,-1.679,-0.239,-0.098,-0.137,-0.223
83.288,-0.866,3.101,6.377,-0.011,-0.158,-0.045,-0.165
83.300,0.598,1.514,-0.702,-1.862,-0.068,-0.710,-0.208
83.311,-0.377,-1.170,4.424,-1.283,-1.004,-0.988,-0.513
83.322,-2.331,2.613,-1.068,-0.428,-0.364,-0.779,-0.701
83.333,4.749,0.904,2.593,0.616,-0.015,-0.408,-0.504
83.345,-1.842,-5.077,-2.411,0.575,0.534,0.114,0.052
83.356,6.580,3.590,3.203,0.990,1.247,0.270,0.480
83.367,2.307,1.148,-1.068,0.464,0.994,0.435,0.735
83.378,0.720,-0.438,-7.660,0.988,0.707,0.607,0.746
83.390,0.354,1.270,0.273,-0.008,1.051,0.406,0.802
83.401,-4.772,-0.560,-2.289,0.474,0.595,0.520,0.838
83.412,7.068,-4.222,1.860,0.643,0.307,0.532,0.944
83.423,1.575,-0.926,-0.946,0.714,0.991,0.545,0.918
83.434,-4.040,0.782,-5.463,-0.199,0.354,0.449,0.702
83.446,2.674,0.172,-3.266,0.018,-0.365,0.187,0.304
83.457,4.749,6.886,0.518,-0.233,-0.091,-0.062,0.068
83.468,3.772,4.444,3.325,-0.360,0.137,-0.273,0.009
83.479,7.068,1.148,2.593,0.242,-0.088,-0.150,-0.033
83.491,0.110,-0.072,-7.538,0.341,0.328,0.090,0.027
83.502,3.772,-5.443,3.692,1.436,0.571,0.550,0.386
83.513,-1.842,-2.879,8.208,-0.414,-0.416,0.406,0.260
83.524,1.941,-0.560,4.180,-0.019,-0.424,0.216,0.012
83.536,5.725,-1.903,0.518,0.512,-0.841,-0.040,-0.255
83.547,-1.598,-2.635,5.645,-0.224,-0.424,-0.097,-0.303
83.558,-2.086,0.782,-2.533,-0.929,-0.702,-0.264,-0.461
83.569,-4.040,-5.199,5.889,-0.780,-0.647,-0.338,-0.295
83.580,3.040,3.834,1.494,-0.146,-0.043,-0.375,-0.318
83.592,-1.354,-0.316,-3.754,-0.295,-0.835,-0.259,-0.405
83.603,-9.777,-3.856,-4.486,-0.924,-0.147,-0.304,-0.353
83.614,-2.575,-0.316,4.790,-0.514,-0.329,-0.298,-0.309
83.625,4.871,0.904,5.156,1.092,0.506,-0.020,-0.150
83.637,-0.621,1.514,1.860,0.524,0.258,0.381,0.013
83.648,0.598,-2.879,-1.557,-0.174,0.312,0.273,0.108
83.659,-3.551,-6.053,-3.998,0.063,-1.044,0.218,-0.092
83.670,4.016,-3.612,-4.242,-0.096,-0.966,0.045,-0.466
83.682,-6.481,-2.879,-8.881,-0.468,-1.031,0.040,-0.510
83.693,-0.988,4.444,4.180,-0.196,-0.085,-0.225,-0.590
83.704,1.331,-2.513,-4.486,0.161,-0.499,-0.103,-0.525
83.715,-4.162,-2.757,1.250,-1.152,-0.606,-0.344,-0.595
83.727,-2.086,-0.194,4.668,-0.980,-1.277,-0.570,-0.723
83.738,-2.819,-2.269,-0.458,-1.059,-0.809,-0.810,-0.728
83.749,2.551,-2.269,-5.097,-0.793,-1.807,-0.996,-1.010
83.760,2.796,5.787,5.278,-0.180,-0.991,-0.842,-1.279
83.771,2.918,-1.292,9.429,0.546,-0.676,-0.379,-0.987
83.783,-0.744,-1.292,-2.655,-0.316,-0.609,-0.289,-0.809
83.794,3.894,7.374,6.255,0.891,0.476,-0.002,-0.572
83.805,-0.866,-1.292,6.133,0.841,0.935,0.450,0.034
83.817,3.162,6.764,-7.416,1.692,0.406,0.935,0.090
83.828,0.476,-0.316,8.452,2.368,0.079,1.481,0.134
83.839,1.819,5.177,-0.946,2.334,0.479,1.743,0.209
83.850,4.871,2.369,-6.440,1.627,0.138,1.628,0.134
83.861,3.284,4.933,0.029,1.473,-0.617,1.564,-0.195
83.873,-0.377,-3.001,-3.144,1.515,-0.716,1.628,-0.342
83.884,-4.894,-4.588,-9.858,0.439,-1.616,1.425,-0.835
83.895,1.331,1.270,9.429,0.613,-0.658,1.003,-0.863
83.906,-2.697,-1.170,-5.951,0.881,-0.358,1.004,-0.649
83.918,0.110,-0.682,-6.073,1.053,0.379,1.050,-0.326
83.929,0.965,-3.734,2.471,1.094,0.350,1.073,-0.040
83.940,3.406,3.590,5.645,0.564,0.628,0.894,-0.007
83.951,3.772,0.050,-3.998,-0.301,0.318,0.368,0.166
83.963,-0.377,-0.072,-3.022,0.612,-0.832,0.210,-0.227
83.974,-4.650,1.881,-5.585,-0.407,-0.340,0.246,-0.352
83.985,2.429,-1.170,3.203,-0.296,-1.416,-0.102,-0.646
83.996,-3.795,-3.612,-1.923,0.020,-0.648,-0.076,-0.742
84.007,1.453,-6.053,-1.679,0.399,-0.827,0.011,-0.591
84.019,-1.232,-0.560,1.738,0.817,-0.365,0.396,-0.519
84.030,-1.598,1.759,-1.313,0.684,0.438,0.653,-0.161
84.041,-2.331,-3.978,-6.562,0.511,0.010,0.675,0.118
84.053,-4.528,-1.781,-1.313,0.294,-0.031,0.668,0.213
84.064,0.842,-0.072,-0.092,0.169,-0.374,0.501,-0.106
84.075,4.505,6.031,2.227,-0.583,0.573,0.127,-0.112
84.086,3.528,4.566,9.917,0.410,0.072,0.074,-0.063
84.097,-4.406,1.759,6.621,-0.292,1.302,-0.070,0.302
84.109,0.598,-2.025,-5.097,-0.729,-0.745,-0.261,0.161
84.120,4.261,4.078,1.860,-0.265,0.217,-0.447,-0.036
84.131,0.232,0.538,-4.242,0.154,0.994,-0.266,0.376
84.142,3.162,2.491,-0.214,0.826,0.925,0.097,0.649
84.154,5.237,2.369,0.029,0.823,0.959,0.365,0.656
84.165,3.894,-0.926,8.941,0.442,-0.322,0.363,0.426
84.176,4.749,-1.903,0.029,0.711,0.269,0.434,0.342
84.187,-4.162,-3.001,0.029,-0.405,-0.394,0.327,0.127
84.199,-2.575,5.299,2.593,-0.585,0.527,-0.055,0.087
84.210,0.110,-2.269,1.860,0.233,-0.067,0.016,0.049
84.221,-2.819,-1.536,2.593,0.281,-0.150,0.171,0.006
84.232,-5.138,5.299,-5.585,-0.696,-1.058,-0.083,-0.586
84.243,3.650,-1.658,-1.435,-0.268,-1.475,-0.293,-0.989
84.255,4.993,1.881,-3.876,0.780,-1.425,0.058,-1.308
84.266,-1.720,-0.682,6.133,0.198,-0.980,0.196,-1.235
84.277,-5.138,2.735,-7.538,0.505,0.599,0.399,-0.702
84.288,-2.453,-8.006,-3.876,-0.455,-0.116,0.216,-0.219
84.300,-3.185,3.712,0.640,0.193,0.352,0.178,-0.123
84.311,5.237,-1.536,3.814,0.572,-0.286,0.151,-0.260
84.322,-2.819,5.909,-2.289,-0.338,0.626,0.107,-0.115
84.333,3.284,6.397,9.673,0.437,1.131,0.046,0.206
84.345,-7.946,-3.123,-4.486,-0.914,0.483,-0.082,0.373
84.356,3.162,-1.414,7.720,1.392,-0.014,0.299,0.460
84.367,5.481,5.055,-3.876,1.024,0.728,0.547,0.470
84.378,-5.138,0.660,-3.022,-0.142,1.234,0.437,0.731
84.390,2.918,11.036,2.471,0.421,1.661,0.201,0.828
84.401,-3.307,1.881,-7.416,-0.188,1.187,0.070,1.043
84.412,-0.255,-0.316,-2.533,-0.432,1.256,-0.262,1.236
84.424,-4.894,-5.809,0.273,-0.059,0.082,-0.052,0.950
84.435,-0.499,-5.931,-3.266,-0.763,-1.544,-0.159,0.199
84.446,1.941,-2.025,0.640,-1.076,-1.047,-0.656,-0.418
84.458,3.284,3.834,-1.068,-0.353,-0.806,-0.751,-0.683
84.469,6.336,1.881,6.499,-0.024,-0.615,-0.678,-0.673
84.481,2.674,0.904,5.767,-0.466,-0.040,-0.478,-0.494
84.492,-2.208,2.979,0.518,-1.090,-0.301,-0.724,-0.550
84.503,-2.453,0.782,-1.679,-1.401,-0.167,-0.888,-0.492
84.514,0.110,-1.536,-0.702,-1.083,-0.657,-0.944,-0.464
84.526,-4.040,-1.658,0.273,-0.104,0.231,-0.575,-0.230
84.537,-9.045,1.514,2.593,-0.829,0.526,-0.465,0.091
84.548,2.674,3.468,4.180,0.397,1.581,-0.364,0.598
84.560,-3.185,7.618,3.081,0.703,2.352,0.249,1.168
84.571,-1.110,0.782,-0.336,0.342,0.829,0.315,1.246
84.583,0.476,-0.316,2.715,-0.293,0.685,0.093,1.021
84.594,6.092,5.909,6.988,-0.579,0.455,-0.281,0.621
84.605,-2.453,5.177,-5.707,-0.562,-0.036,-0.382,0.244
84.617,-2.575,0.660,3.447,-0.972,-0.032,-0.607,0.056
84.628,2.674,-1.658,-4.486,0.350,-0.308,-0.477,-0.046
84.639,4.627,1.026,4.302,1.042,-0.759,-0.026,-0.266
84.650,-2.819,0.782,0.029,0.810,-0.487,0.564,-0.393
84.662,2.063,4.810,-1.313,1.832,0.741,0.928,-0.187
84.673,-1.354,-0.682,-0.336,0.372,0.947,0.950,0.281
84.684,6.702,1.392,6.255,0.679,0.598,0.676,0.413
84.696,-0.133,-9.715,-2.045,0.135,-0.822,0.519,0.298
84.707,-0.744,-1.048,-0.214,0.050,-0.165,0.448,0.017
84.718,-2.575,1.514,0.518,0.136,-0.272,0.449,-0.020
84.730,-0.499,-0.072,-4.975,-0.183,-0.693,0.400,-0.252
84.741,1.575,0.172,-0.214,-0.606,-0.580,-0.078,-0.463
84.752,-1.964,-0.560,5.034,-0.836,-0.974,-0.320,-0.643
84.764,-4.162,-0.316,-3.388,0.449,-0.069,-0.097,-0.502
84.775,-3.917,-1.658,1.860,-0.056,-0.501,-0.131,-0.392
84.786,-4.894,-0.194,6.377,-1.102,-0.141,-0.231,-0.332
84.798,1.697,-0.804,-6.195,-0.055,-1.023,-0.357,-0.412
84.809,0.965,5.421,-1.923,0.061,-0.324,-0.273,-0.501
84.821,0.720,-1.170,0.151,-0.453,0.097,-0.304,-0.278
84.832,1.575,0.904,-6.440,-0.396,0.419,-0.370,0.076
84.843,1.575,1.392,1.128,-0.032,-0.290,-0.343,-0.130
84.854,5.115,2.003,-1.923,0.899,-0.017,-0.025,-0.179
84.866,0.598,6.275,1.006,0.842,0.821,0.378,-0.037
84.877,3.040,3.834,-3.876,0.996,1.251,0.615,0.459
84.888,2.185,-2.147,2.349,0.610,0.140,0.663,0.492
84.900,2.674,-4.710,5.034,-0.112,0.473,0.353,0.720
84.911,1.209,-3.123,-5.585,-0.106,0.392,0.275,0.681
84.923,9.388,-1.781,0.762,0.173,-1.115,-0.046,0.078
84.934,-0.133,-0.072,-2.289,0.554,0.529,0.227,0.087
84.945,6.702,-1.781,-3.022,-0.193,0.409,0.008,0.260
84.956,-0.011,-1.903,-7.050,0.632,0.849,0.150,0.551
84.968,-1.598,1.026,-0.946,-0.595,0.138,-0.075,0.414
84.979,-1.110,-2.513,3.081,-0.665,-0.665,-0.361,0.183
84.990,1.453,-5.077,-0.458,-0.140,-0.942,-0.364,-0.159
85.002,6.824,2.491,8.941,0.001,-0.306,-0.391,-0.366
85.013,3.406,0.782,-0.580,0.263,-0.181,-0.288,-0.304
85.025,4.261,3.101,2.105,-0.672,-0.081,-0.358,-0.224
85.036,0.598,-2.025,-6.562,0.576,-0.818,-0.223,-0.383
85.047,5.115,0.172,-2.777,0.044,-0.448,-0.087,-0.448
85.059,-1.110,3.834,2.593,-0.629,0.546,-0.206,-0.224
85.070,-4.284,-1.048,-2.045,-0.901,0.674,-0.301,0.241
85.081,3.406,2.125,4.302,-0.735,-0.046,-0.519,0.288
85.093,-3.307,-0.316,-2.411,0.529,-0.804,-0.175,-0.095
85.104,1.453,-4.344,-4.120,0.963,-0.184,0.159,-0.227
85.115,0.720,-2.269,3.325,0.313,0.188,0.236,-0.148
85.126,-2.697,3.346,-2.777,0.409,1.267,0.265,0.300
85.138,-2.453,-9.593,-3.266,-0.418,-1.162,0.160,0.230
85.149,-5.871,1.514,2.837,-1.024,0.012,-0.072,-0.038
85.161,3.894,0.172,2.105,-0.204,-0.048,-0.377,-0.083
85.172,-0.255,4.810,4.790,-1.032,-0.490,-0.608,-0.346
85.183,2.551,8.595,2.471,-0.221,0.465,-0.455,-0.316
85.195,-3.307,-3.856,-5.463,-0.194,0.721,-0.256,0.284
85.206,3.284,2.369,1.494,0.866,0.507,0.133,0.409
85.218,3.040,-4.466,-1.679,0.023,-0.352,0.033,0.199
85.229,4.383,4.933,5.645,0.620,0.124,0.135,0.034
85.241,0.842,-0.560,0.640,1.095,0.978,0.406,0.308
85.251,-1.232,2.979,-2.533,0.762,2.516,0.527,0.869
85.263,6.702,2.247,4.058,0.513,1.752,0.540,1.208
85.275,-0.744,3.468,0.029,-0.489,1.240,0.296,1.256
85.287,9.266,2.125,4.912,0.480,1.186,0.070,1.150
85.299,-4.528,-1.048,8.819,-0.573,0.251,-0.031,0.845
85.311,-1.720,2.857,-6.562,-0.203,0.391,-0.111,0.666
85.323,0.842,4.322,5.278,0.381,0.856,-0.000,0.629
85.335,-0.866,0.294,0.396,-1.303,0.769,-0.287,0.738
85.347,4.261,1.392,5.034,-0.724,1.026,-0.509,0.782
85.358,-2.086,-3.612,5.278,-0.600,0.203,-0.639,0.636
85.368,-4.284,2.857,4.180,-2.087,-0.214,-0.993,0.300
85.380,1.087,-3.856,-11.323,-1.940,-0.130,-1.381,0.207
85.392,-0.621,5.909,-2.045,-1.730,0.340,-1.554,0.151
85.404,4.383,2.491,5.156,-0.408,0.884,-1.324,0.393
85.416,1.941,3.101,11.016,-0.598,0.784,-1.149,0.461
85.428,19.031,-16.918,-0.336,2.132,-1.998,-0.506,0.069
85.440,12.806,12.501,11.504,3.089,0.195,0.128,-0.419
85.452,6.702,-3.001,10.528,0.957,0.630,0.507,0.208
85.464,7.068,6.519,-1.313,0.691,2.009,0.380,0.625
85.476,-1.720,1.148,7.598,-0.095,1.620,0.367,1.126
85.486,1.209,-2.147,-5.829,0.139,1.225,0.214,1.247
85.498,4.627,1.637,4.912,0.092,-0.352,0.095,0.678
85.510,0.476,2.613,1.616,1.565,0.834,0.488,0.578
85.522,-0.866,0.538,-7.172,0.752,1.136,0.673,0.787
85.533,1.087,-2.147,7.720,0.200,0.320,0.628,0.687
85.545,-0.866,3.468,-3.998,0.764,0.512,0.599,0.551
85.557,1.087,3.468,1.738,0.180,-0.110,0.445,0.192
85.569,3.650,1.514,-0.214,0.927,1.212,0.458,0.369
85.581,0.110,2.613,3.814,0.673,1.215,0.546,0.631
85.593,-6.481,2.003,-5.341,-0.223,1.122,0.414,0.863
85.603,-6.969,-3.490,-10.102,-0.501,0.329,0.244,0.828
85.615,-5.382,1.881,2.471,-0.658,0.860,-0.031,0.846
85.627,6.092,0.050,-2.289,-0.928,1.000,-0.436,0.908
85.638,-0.011,3.223,7.598,0.308,0.894,-0.313,0.865
85.650,-3.063,2.613,-1.679,0.466,1.347,0.032,0.908
85.662,2.307,0.660,-2.655,0.281,1.292,0.114,1.094
85.674,0.476,-0.072,8.086,0.615,1.199,0.306,1.232
85.686,-6.237,2.125,1.738,-0.242,0.675,0.420,1.082
85.698,3.772,9.083,-5.585,0.326,2.338,0.298,1.255
85.710,1.209,9.571,-8.149,-0.056,3.373,0.195,1.873
85.720,3.040,12.745,-8.637,-0.642,5.496,-0.156,2.775
85.732,5.481,6.519,-2.533,0.218,8.145,-0.238,4.574
85.744,-0.866,13.600,-12.055,0.008,10.336,-0.090,6.420
85.755,-0.621,-0.682,-3.022,0.339,10.609,0.065,8.271
85.767,4.261,-11.669,1.860,-0.296,3.120,-0.064,7.387
85.779,-2.819,-12.523,1.372,-0.542,-3.572,-0.098,3.951
85.791,6.092,3.712,-0.946,0.188,-1.813,-0.201,1.412
85.803,3.772,13.478,3.692,0.301,4.305,-0.167,1.681
85.815,4.749,18.483,7.354,0.821,9.295,0.078,3.815
85.827,5.970,20.436,0.640,1.279,12.578,0.424,6.603
85.837,-1.720,12.135,2.715,1.356,14.317,0.765,8.896
85.849,-0.255,7.984,-0.214,1.032,11.965,0.938,10.314
85.861,-0.133,-0.560,-4.975,0.060,7.305,0.693,9.826
85.872,-3.551,-3.001,-2.777,-0.790,3.678,0.193,7.910
85.884,-6.847,1.026,-0.702,-1.622,2.432,-0.236,5.978
85.896,0.965,-4.100,-0.824,-0.087,2.506,-0.424,4.786
85.908,-1.720,6.153,-2.533,0.031,2.661,-0.247,3.903
85.920,3.040,3.468,-3.144,0.331,3.218,-0.128,3.507
85.932,0.598,4.933,8.941,1.679,2.948,0.464,3.316
85.942,-7.702,-0.926,1.982,0.367,1.071,0.678,2.763
85.954,0.965,-4.832,2.349,0.329,0.041,0.489,1.913
85.966,-0.133,7.008,-1.801,0.199,1.647,0.387,1.533
85.977,1.453,11.647,11.626,0.248,3.498,0.306,2.002
85.989,0.965,17.140,-3.876,0.019,8.167,0.191,3.694
86.001,2.307,22.267,11.504,-1.063,13.318,-0.191,6.679
86.013,-5.382,15.919,8.941,-0.887,16.556,-0.404,10.193
86.025,-2.819,16.774,-1.801,-1.047,17.149,-0.702,12.705
86.037,-0.866,17.384,-3.388,-1.686,17.240,-1.027,14.296
86.049,2.185,3.468,4.424,-0.372,12.954,-0.930,14.386
86.059,5.725,-3.612,-3.876,0.604,7.354,-0.519,12.745
86.071,-1.232,-21.557,-1.557,0.435,-1.327,-0.134,8.719
86.083,8.899,-17.162,-8.759,1.662,-9.142,0.280,2.816
86.094,-1.598,-37.670,-8.149,0.739,-17.517,0.603,-3.693
86.106,-5.138,-19.115,-3.510,1.300,-19.802,1.016,-9.650
86.118,3.284,6.886,6.377,0.518,-12.562,0.901,-11.954
86.130,-0.133,7.618,3.203,0.006,-4.932,0.613,-10.276
86.142,-2.208,-1.414,2.715,-0.910,-2.811,0.092,-7.622
86.154,-4.162,-0.194,-2.289,-1.019,-1.846,-0.219,-5.562
86.166,2.307,2.735,-4.364,-0.890,-1.382,-0.634,-4.117
86.176,-2.208,-6.908,-2.045,-0.841,-1.999,-0.696,-3.348
86.188,3.284,0.172,-0.458,-0.606,-1.274,-0.708,-2.696
86.200,4.016,-2.025,-2.289,0.426,-1.875,-0.412,-2.344
86.211,4.383,2.247,-8.271,-0.424,-1.523,-0.447,-2.128
86.223,-4.162,-4.710,-3.876,-1.133,-1.677,-0.553,-1.889
86.235,2.551,-0.072,2.593,-0.525,-0.940,-0.651,-1.677
86.247,2.551,4.933,1.860,0.870,0.245,-0.253,-1.158
86.259,-7.336,3.223,-1.923,-0.016,0.863,0.106,-0.396
86.271,-8.312,7.374,-7.782,-2.147,1.891,-0.260,0.376
